Name,M1,M1_atom_number,M2,M2_atom_number,M3,M3_atom_number,Support,Support_ID,M2_mol,M3_mol,M1_mol%,M2_mol%,M3_mol%,Temp,Total_flow,Ar_flow,CH4_flow,O2_flow,CT,CH4/O2,CH4_conv,C2y,C2H6y,C2H4y,COy,CO2y,C2s,C2H6s,C2H4s,COs,CO2s,M1_electronegativity,M1_ionic_radius,M1_oxidation_state,M1_d_electron_count,M1_inverse_ionization,M2_electronegativity,M2_ionic_radius,M2_oxidation_state,M2_d_electron_count,M2_inverse_ionization,M3_electronegativity,M3_ionic_radius,M3_oxidation_state,M3_d_electron_count,M3_inverse_ionization,support_surface_area
Mn-Na2WO4/BN,Mn,25,Na,11,W,74,BN,4,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,19.35,7.01,1.09,5.92,14.39,1.89,36.23,5.63,30.59,74.37,9.77,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,1513.0
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,18.03,8.16,2.14,6.02,8.87,3.58,45.26,11.87,33.39,49.2,19.86,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,194.0
Mn-Na2WO4/Al2O3,Mn,25,Na,11,W,74,Al2O3,2,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,16.88,6.78,0.96,5.82,10.58,3.29,40.17,5.69,34.48,62.68,19.49,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,413.0
Mn-Na2WO4/SiO2,Mn,25,Na,11,W,74,SiO2,11,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,24.48,17.25,4.82,12.43,5.77,4.13,70.47,19.69,50.78,23.57,16.87,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,350.0
Mn-Na2WO4/SiC,Mn,25,Na,11,W,74,SiC,9,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,19.63,11.42,3.4,8.02,7.57,3.02,58.18,17.32,40.86,38.56,15.38,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,22.0
Mn-Na2WO4/SiCnf,Mn,25,Na,11,W,74,SiCnf,10,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,22.58,12.34,4.14,8.2,8.29,3.7,54.65,18.33,36.32,36.71,16.39,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,124.0
Mn-Na2WO4/BEA,Mn,25,Na,11,W,74,BEA,3,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,16.65,6.38,1.84,4.54,9.25,2.88,38.32,11.05,27.27,55.56,17.3,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,512.0
Mn-Na2WO4/ZSM-5,Mn,25,Na,11,W,74,ZSM-5,14,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,17.85,10.14,2.67,7.47,8.26,2.72,56.81,14.96,41.85,46.27,15.24,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,285.0
Mn-Na2WO4/TiO2,Mn,25,Na,11,W,74,TiO2,12,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,23.85,15.36,4.45,10.91,3.89,5.42,64.4,18.66,45.74,16.31,22.73,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,417.0
Mn-Na2WO4/ZrO2,Mn,25,Na,11,W,74,ZrO2,13,0.37,0.185,40,40,20,800,15,6.0,7.2,1.8,0.5,4,17.68,6.85,1.46,5.39,10.31,2.78,38.74,8.26,30.49,58.31,15.72,1.55,25.0,7.0,5.0,0.1345163960690004,0.93,99.0,1.0,0.0,0.1945874731558797,1.7,42.0,6.0,4.0,0.1271612646442091,37.0
