model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,training_time,val_loss_0,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6,val_loss_7,val_loss_8,val_loss_9,val_loss_10,val_loss_11,val_loss_12,val_loss_13,val_loss_14,val_loss_15,val_loss_16,val_loss_17,val_loss_18,val_loss_19,val_loss_20,val_loss_21,val_loss_22,val_loss_23,val_loss_24,mae_0,mae_1,mae_2,mae_3,mae_4,mae_5,mae_6,mae_7,mae_8,mae_9,mae_10,mae_11,mae_12,mae_13,mae_14,mae_15,mae_16,mae_17,mae_18,mae_19,mae_20,mae_21,mae_22,mae_23,mae_24,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,mse_6,mse_7,mse_8,mse_9,mse_10,mse_11,mse_12,mse_13,mse_14,mse_15,mse_16,mse_17,mse_18,mse_19,mse_20,mse_21,mse_22,mse_23,mse_24,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,r2_20,r2_21,r2_22,r2_23,r2_24,timing_0,timing_1,timing_2,timing_3,timing_4,timing_5,timing_6,timing_7,timing_8,timing_9,timing_10,timing_11,timing_12,timing_13,timing_14,timing_15,timing_16,timing_17,timing_18,timing_19,timing_20,timing_21,timing_22,timing_23,timing_24
neural_network,base+atom_numbers+support,no,5,5,10,201,-0.9182743,3.2920961,16.154377,7.97835636138916,8.075772762298584,8.949612617492676,8.98996114730835,7.858817100524902,8.693750381469727,8.737412770589193,10.024498303731283,7.641177773475647,7.883874257405599,8.906609217325846,8.184108972549438,10.54679520924886,7.871675809224446,7.66791280110677,8.053260326385498,10.580599784851074,7.530995368957519,9.149776458740234,8.594501495361328,8.668726325035095,9.591003259023031,7.399571776390076,8.42039179801941,7.836158752441406,8.216071128845215,3.281019,3.024064,3.0736995,3.4164944,3.2458663,3.256229,3.0848303,3.385285,2.978565,3.3701568,3.357517,3.2095807,2.9670148,3.1005154,3.1436272,3.246126,3.0581958,3.3485913,3.343085,3.3338223,3.3023808,3.2920961,3.2815995,3.1448607,3.1236162,16.112394,13.28872,14.750571,16.813917,16.566523,16.156382,15.717176,16.914515,13.7160015,16.34701,17.515642,16.483393,13.574298,14.637251,14.945279,16.434381,13.917672,17.18793,16.745358,16.831255,16.46403,16.154377,16.179565,14.144989,15.129857,-0.91328907,-0.5779878,-0.7515774,-0.9965924,-0.96721506,-0.91851234,-0.8663583,-1.008538,-0.6287259,-0.94114864,-1.0799198,-0.9573438,-0.61189926,-0.7381209,-0.77469826,-0.9515239,-0.6526736,-1.0410049,-0.9884511,-0.99865115,-0.9550445,-0.9182743,-0.92126524,-0.67966664,-0.7966163,29.074190616607662,7.9799957275390625,22.447543621063232,4.940740585327148,19.951910495758057,7.457207679748535,0.2996678352355957,1.5037686824798584,6.843891620635986,3.395408391952514,2.568866014480591,0.2972140312194824,3.791029453277588,8.263221025466919,12.127938032150269,3.2778918743133545,3.2152936458587646,20.957820177078247,6.58078145980835,2.629900932312012,5.280393838882446,7.97835636138916,3.969244718551636,8.470275640487671,5.336098670959473
neural_network,base+atom_numbers+support,no,5,5,10,202,0.32605362,2.333425,9.807639,6.971040487289429,3.209673225879669,3.657835563023885,3.862580537796021,3.630673329035441,3.4803619384765625,4.141837596893311,3.4710850715637207,4.312908887863159,3.592979907989502,3.4568682511647544,4.526854117711385,4.020428498586019,4.056819677352905,3.6649927298227936,3.52992844581604,3.4292728900909424,3.928988297780355,3.73385488986969,3.749519109725952,3.709054152170817,3.4850858449935918,3.62506373723348,2.9683278799057007,3.5350648164749146,3.789019346237183,2.8745382,3.7668462,3.482808,3.3497536,3.2717438,4.0741053,3.6878881,3.965204,3.127424,3.124155,3.3105733,3.96543,3.8376849,3.8653786,3.289176,2.940224,3.5231485,4.1204443,4.1085024,3.8830173,4.0519195,3.621408,2.333425,3.7400997,3.325103,15.417363,25.86034,23.475723,21.463398,21.066536,28.560087,25.281023,28.056442,19.023664,19.050116,21.540503,27.625437,26.595367,26.99074,20.952688,16.554962,23.742378,29.577166,29.813845,27.750214,29.143976,24.469704,9.807639,25.497707,21.535246,-0.059426785,-0.7770314,-0.61316895,-0.47488916,-0.44761813,-0.9625485,-0.7372228,-0.9279398,-0.30723906,-0.30905676,-0.48018742,-0.8983226,-0.8275399,-0.85470843,-0.43979478,-0.13759863,-0.6314925,-1.0324385,-1.0487025,-0.9068968,-1.0026712,-0.6814717,0.32605362,-0.7521125,-0.4798262,6.406316518783569,10.448565483093262,1.169788837432861,3.540324211120605,3.700736999511719,20.64325523376465,3.6555464267730713,1.618260145187378,1.971024513244629,21.32285499572754,6.379504680633545,18.10658621788025,3.667903661727905,1.8289475440979004,21.648927211761475,20.13541865348816,0.3293125629425049,2.034583568572998,5.649264812469482,21.91560649871826,4.837473154067993,2.1633999347686768,6.971040487289429,2.2702860832214355,10.885448455810549
neural_network,base+atom_numbers+support,no,5,5,10,203,0.076700926,2.4143517,10.717399,4.509925603866577,9.357461293538412,9.039977391560871,12.163546244303385,7.709608793258667,7.26033600171407,10.49645964304606,5.035136381785075,3.015321413675944,3.232317805290222,9.417498111724854,9.8744056224823,7.657713830471039,3.5076010823249817,6.599565982818604,10.93876314163208,3.901920408010483,9.458329916000366,8.725754261016846,8.06034787495931,9.928950548171995,7.242457707722981,11.123765468597412,8.202508926391602,5.950794219970703,11.458290100097656,4.911555,5.239112,3.2845924,3.2357397,5.1874967,3.198749,4.025081,2.4143517,3.7822568,3.4121182,3.1227653,6.6573277,2.206154,3.3602853,3.384228,3.8065114,3.2064579,3.2675846,3.6966803,3.2466507,3.630366,3.4720907,3.214522,4.4688535,3.2490683,36.82054,45.216553,19.594505,17.223562,41.56989,18.137094,27.133863,10.717399,30.132692,19.123688,16.505642,66.872,9.436582,17.567108,20.647514,24.564049,18.208492,18.38763,21.347569,18.477022,20.410706,21.460148,17.322584,31.745548,17.510487,-2.172073,-2.8953857,-0.6880578,-0.48380208,-2.581227,-0.5625025,-1.33757,0.076700926,-1.5959179,-0.64749694,-0.42195356,-4.760993,0.18704277,-0.5133984,-0.77877414,-1.1161816,-0.56865335,-0.58408606,-0.8390833,-0.5917871,-0.758373,-0.84878194,-0.49233282,-1.7348645,-0.5085205,34.33194088935852,26.08412742614746,2.937056064605713,21.7020161151886,5.748771905899048,6.846485376358032,3.862952709197998,4.509925603866577,9.105257511138916,8.140156030654907,1.299490213394165,24.635071754455566,37.79624152183533,6.585143089294434,3.3786070346832275,27.713541507720947,2.468938112258911,11.731362104415894,6.948493003845215,2.275729179382324,7.469400644302368,3.1229262351989746,4.499335050582886,5.564413785934448,2.4278392791748047
neural_network,base+atom_numbers+support,no,5,5,10,204,-0.21204865,3.27188,17.365509,5.863350868225098,17.862956047058105,16.305816650390625,16.118469715118408,17.5528621673584,19.215469042460125,16.784828503926594,19.21629238128662,20.647008260091145,16.500173568725586,16.440499941507976,17.79114007949829,18.54459047317505,14.034675121307371,16.170344829559326,20.12741057078044,16.00192674001058,15.893615245819092,18.372374534606934,12.79568068186442,19.46431303024292,16.545995235443115,17.563684781392414,15.15823745727539,17.041851043701172,19.27253818511963,3.4321823,3.630693,3.6497397,3.689436,3.6038113,3.47661,3.7019203,3.9817183,3.6006823,3.2427676,3.648209,3.7910771,3.2778332,3.3960576,3.4248273,3.3750184,2.5167792,3.522123,3.27188,3.724175,3.664496,3.4486365,4.054887,3.2605946,3.4692004,20.59673,24.129597,23.12276,24.816084,22.412529,20.475552,24.995876,23.149744,23.264338,18.740118,24.231916,25.450705,19.55638,20.986286,18.846296,19.654785,11.821743,22.036463,17.365509,24.562023,23.659046,20.565342,23.783688,18.794725,21.125734,-0.43757582,-0.684157,-0.6138836,-0.7320713,-0.564312,-0.42911816,-0.7446202,-0.6157669,-0.6237651,-0.30799127,-0.6912985,-0.7763655,-0.3649633,-0.46476555,-0.31540203,-0.37183166,0.17488587,-0.5380639,-0.21204865,-0.7143388,-0.65131426,-0.43538523,-0.6600138,-0.31180263,-0.4744985,6.760740518569946,1.0827617645263672,2.9764974117279053,9.515458583831789,11.335333347320557,20.29700255393982,0.5212693214416504,0.3275027275085449,10.436092138290403,3.807854652404785,17.767407417297363,17.05339026451111,7.3659749031066895,9.592732429504396,4.718925952911377,6.477130174636841,40.38039422035217,21.269965887069706,5.863350868225098,20.06379246711731,18.411572456359863,2.5892722606658936,24.54744124412537,5.243456840515137,24.50330948829651
neural_network,base+atom_numbers+support,no,5,5,10,205,-0.8310425,3.4279802,20.206512,31.761922359466556,23.17941379547119,29.03581428527832,26.757339000701904,19.654610633850098,22.88066069285075,26.41372013092041,29.16512441635132,192.9084587097168,25.528351147969563,22.308950066566467,26.107649485270183,18.80118179321289,29.63257964452108,136.9436289469401,19.238312244415283,25.907514890034992,24.875024557113647,26.303152402242024,23.7506202061971,19.69504674275716,116.16599019368488,12.915242791175842,18.227416515350345,26.20114278793335,23.412729104359943,4.538513,4.3892975,4.219994,4.078883,3.596419,4.328126,5.0821395,4.3022866,4.095345,4.584442,4.168558,4.1087003,4.5647144,3.9989212,4.090389,3.9969673,4.8131223,4.0506907,4.0006866,3.6714694,3.8468387,3.4279802,3.8896358,4.3119125,3.91355,31.583174,30.06053,28.745695,27.415112,22.208723,29.71357,36.72171,36.299988,27.673634,31.924967,28.22495,27.715944,32.078777,28.33963,27.038586,26.724804,33.963047,26.72902,26.69716,23.320465,25.480375,20.206512,25.151495,29.40527,25.531635,-1.8619552,-1.7239785,-1.6048331,-1.4842601,-1.0124757,-1.6925383,-2.327591,-2.2893763,-1.5076864,-1.8929274,-1.5576451,-1.5115206,-1.9068649,-1.5680368,-1.4501407,-1.4217072,-2.0776107,-1.4220889,-1.4192021,-1.1132178,-1.3089411,-0.8310425,-1.2791393,-1.6646013,-1.3135862,6.622364521026611,15.9396812915802,5.522104501724243,5.149820804595947,0.6283318996429443,18.134440422058105,0.8363580703735352,3.5671331882476807,17.292203187942505,0.2327594757080078,18.1296911239624,1.675990104675293,20.150557279586792,1.724862575531006,2.869983673095703,5.334718704223633,0.2397792339324951,0.846189022064209,2.3873233795166016,18.061182737350464,3.708768129348755,31.761922359466556,5.141568183898926,2.7385246753692627,0.6556887626647949
neural_network,base+atom_numbers+support,no,5,5,10,207,0.35396057,1.8367536,5.668893,6.33260178565979,12.21693515777588,7.638523896535237,11.657757918039955,4.343395471572876,4.389088451862335,12.123608112335203,15.95949125289917,12.590210914611816,11.636876424153646,5.636144797007243,12.467341105143229,11.280253171920776,8.594776272773743,7.921572049458821,12.40716552734375,8.163727124532064,8.297426700592041,8.092400789260864,11.502587795257568,5.017646074295044,12.167635440826416,12.494649251302084,12.138111591339111,12.221193313598633,6.19409966468811,2.2370548,2.6339555,2.3769507,1.8367536,1.8085958,2.5078173,2.6441247,2.2378247,2.351128,2.1359565,2.2818496,3.944699,3.1333106,2.3166077,2.1617835,2.600928,2.8854797,3.1085267,2.6375363,2.0973878,2.440557,2.536694,2.2452803,2.3838522,2.435059,8.499503,13.932767,10.285236,5.668893,5.4140563,11.008193,11.4780245,8.776229,9.837416,9.093485,8.893856,29.881802,20.1647,10.794907,8.070147,14.889494,15.712253,19.45403,12.9468775,9.02712,10.457598,11.112768,8.559101,9.882464,13.283082,0.03137803,-0.5878085,-0.17212796,0.35396057,0.38300234,-0.25451767,-0.30806077,-0.00015819073,-0.12109339,-0.036313415,-0.013563275,-2.4053953,-1.298013,-0.23021102,0.08030844,-0.6968392,-0.79060256,-1.2170236,-0.47545445,-0.028750181,-0.19177067,-0.26643527,0.024586141,-0.12622714,-0.51376903,24.256799697875977,22.83571839332581,8.29924464225769,6.33260178565979,5.539055347442627,4.903615474700928,0.3972253799438476,8.560689449310303,2.3787074089050293,9.087895393371582,7.168125629425049,19.658295392990112,41.494802713394165,3.0782063007354736,15.98834991455078,23.20126676559448,7.670183181762695,6.304031848907471,3.2216944694519043,6.085644006729126,4.563958406448364,11.64142894744873,12.514529943466188,1.1409387588500977,26.80822277069092
neural_network,base+atom_numbers+support,no,5,5,10,206,-0.16917431,3.3560796,20.795628,9.645346403121948,19.8864799340566,15.159846941630043,15.831073880195618,10.77001945177714,17.122976859410603,9.005655705928802,9.997793436050417,17.541165510813396,18.21996061007182,11.99906841913859,19.8234281539917,13.410493731498718,8.927126109600067,11.803871631622314,15.228225469589232,14.908106327056885,7.742896169424057,13.494208097457886,15.626386165618896,10.561740636825562,15.734519879023232,18.29204026858012,7.930476486682892,13.455334822336832,12.575806776682535,3.4784737,3.3186886,3.4567482,3.146555,3.372645,3.416649,3.2987654,3.3265712,3.434314,3.2044349,3.5299547,3.302128,3.243853,3.3387876,3.3363812,3.3746598,3.3560796,3.3551657,3.4532144,3.39861,3.3732996,3.427971,3.187876,3.2935727,3.2754598,24.422132,21.892519,23.79171,19.753115,22.740692,24.03126,20.544527,23.142416,24.530142,20.648039,24.690107,22.454304,20.565212,22.88239,22.994402,23.01839,20.795628,22.134087,23.844503,22.976643,21.942116,23.341887,20.254538,22.37247,20.6049,-0.37306416,-0.2308439,-0.3376205,-0.110562086,-0.27853,-0.3510884,-0.15505695,-0.30111575,-0.37913668,-0.16087663,-0.3881303,-0.26242864,-0.15621996,-0.28649652,-0.2927941,-0.29414284,-0.16917431,-0.24442542,-0.3405887,-0.2917956,-0.23363233,-0.31233048,-0.13875318,-0.25782788,-0.15845132,6.56503438949585,23.750697135925293,12.36085844039917,8.209772109985352,4.7987143993377686,41.6058304309845,71.7767448425293,4.122821092605591,5.311523199081421,13.275855779647827,8.640090942382812,4.749444246292114,25.333141326904297,19.31579089164734,5.673729658126831,1.5791919231414795,9.645346403121948,21.043503761291504,6.696107625961304,9.26733946800232,6.343400716781616,4.44243597984314,82.29975652694702,10.176643371582031,13.06376576423645
neural_network,base+atom_numbers+support,no,5,5,10,208,-1.68803,4.5323772,35.010162,18.441877603530884,18.183605591456097,44.2431640625,15.74354887008667,13.484513878822328,16.922177871068318,17.95798699061076,24.382300694783527,22.07092507680257,252.5104726155599,15.949421405792236,366.18353271484375,566.8906860351562,20.503348112106323,18.21302938461304,18.41187318166097,124.09594217936198,12.91442745923996,17.28363823890686,12.152953922748566,12.749387174844742,19.371918201446533,470.4447250366211,27.911008834838867,15.659927248954771,13.875637888908386,5.2187815,4.518936,4.596727,5.181759,4.8890247,5.2458577,4.5433803,4.3594546,7.818985,5.5146523,8.706043,11.525541,6.0306206,4.641877,5.107207,6.0175495,5.054868,5.016214,4.5323772,4.897801,5.03301,8.025531,4.7174706,5.33353,5.02846,41.586197,34.762177,35.83352,41.187298,38.353817,41.575615,34.481308,34.072845,88.843056,43.42917,118.680565,228.66975,49.668285,36.79996,40.29553,49.851597,39.800457,39.8732,35.010162,38.40246,39.867027,98.657684,35.767456,41.812096,39.400005,-2.1929283,-1.6689899,-1.751246,-2.1623013,-1.9447508,-2.1921158,-1.6474252,-1.6160638,-5.821242,-2.3344293,-8.112123,-16.556934,-2.8134596,-1.825448,-2.0938327,-2.827534,-2.0558217,-2.0614069,-1.68803,-1.9484856,-2.060933,-6.574795,-1.7461736,-2.2102726,-2.025076,18.806972980499268,3.421187400817871,5.451855659484863,4.105392217636108,6.000422954559326,9.525516510009766,19.26906991004944,0.2287900447845459,0.305887222290039,0.2091376781463623,3.277449131011963,0.2679073810577392,1.646524429321289,21.318321228027344,1.502976417541504,27.606708765029907,17.88670301437378,10.495225667953491,18.441877603530884,3.44173264503479,21.789013385772705,3.5616180896759038,0.2642941474914551,3.4750001430511475,2.8180456161499023
neural_network,base+atom_numbers+support,no,5,5,10,209,-0.088591814,2.79996,14.475826,38.73219466209412,16.07722536722819,13.525642315546673,12.176850954691568,11.605814814567566,13.36239735285441,14.291709502538046,9.38940167427063,12.908962607383728,10.282480478286743,13.307553052902222,11.56310292085012,15.030094067255655,14.908440589904783,13.455209811528524,11.65808117389679,14.246053457260132,7.826167106628418,13.177070220311483,9.334270656108856,10.31409901380539,12.6880704164505,10.77124798297882,9.422792792320251,9.567779541015623,11.179683864116669,4.602144,8.310479,6.4092875,7.3154726,6.710192,8.626759,5.8885036,5.06657,6.7091217,4.986276,5.9717574,4.408373,4.7431617,7.700957,4.3804536,3.750745,2.79996,9.560754,6.8614593,7.4473677,3.97019,7.741709,4.550966,5.4687347,7.0237417,32.131027,138.68306,70.092606,94.13701,75.79594,140.95918,58.457897,38.07945,76.26692,36.827133,59.291878,29.69223,34.180374,106.546524,29.227324,23.412462,14.475826,186.98866,83.960144,100.595634,24.874277,107.61991,32.56861,46.508457,85.21376,-1.4162745,-9.429059,-4.271011,-6.079166,-4.699905,-9.600225,-3.3960729,-1.8636,-4.7353234,-1.7694252,-3.4587889,-1.2328756,-1.5703871,-7.01237,-1.1979144,-0.7606329,-0.088591814,-13.061672,-5.313859,-6.564859,-0.8705623,-7.093089,-1.4491816,-2.497467,-5.4081316,6.082665205001831,7.626111268997192,10.557575225830078,23.801915884017944,22.144665718078613,4.617259502410889,13.78028655052185,3.700820446014404,7.717809677124023,3.481848955154419,11.580024003982544,8.952226400375366,4.676854133605957,16.558359146118164,9.38351058959961,7.636650085449219,38.73219466209412,12.882771492004396,14.328469276428224,13.945104598999023,5.2043187618255615,24.170899152755737,13.376706600189207,14.787729024887083,8.091063022613525
neural_network,base+atom_numbers+support,no,5,5,10,212,-0.5759587,3.4658542,21.549288,10.194003582000732,9.582793633143108,7.076946973800659,9.698445796966553,9.822338581085203,11.422715187072754,9.541693528493246,9.939560890197754,9.557477474212646,9.645008087158203,12.044110457102455,9.318074584007263,9.813634554545084,9.513067881266275,7.0439149141311646,9.404077370961508,6.385029435157776,8.768710613250732,8.54658818244934,8.245786666870117,6.57060706615448,9.96687618891398,9.55586290359497,8.532269597053528,10.082998037338257,9.689609169960022,3.9134386,3.4070458,3.8668127,3.8024147,4.0911684,3.667235,4.0619025,4.0935674,3.7437315,3.7456505,3.7522182,4.8009076,3.2718985,3.8007233,4.1960855,3.4658542,3.821501,3.9006565,3.8920293,4.6021485,3.9371212,3.8590097,4.073741,4.9071407,4.056335,27.510633,19.609575,24.897558,24.852695,30.111849,22.029518,29.946568,31.184143,23.438633,24.388231,22.253769,56.04577,16.543505,28.863277,35.016525,21.549288,24.09287,25.660051,24.215265,42.66886,26.659855,25.397938,28.922852,37.676163,28.99404,-1.0119283,-0.4341023,-0.820827,-0.817546,-1.2021625,-0.6110792,-1.1900749,-1.2805822,-0.7141317,-0.7835784,-0.62747943,-3.098781,-0.209872,-1.110851,-1.5608549,-0.5759587,-0.76197803,-0.87659025,-0.770929,-2.1204913,-0.9497086,-0.85742116,-1.1152077,-1.7553613,-1.120414,11.312535285949709,4.673049449920654,4.009505987167358,3.6912572383880615,3.5785391330718994,23.361607551574707,20.382437467575077,3.820807933807373,6.5948591232299805,22.16233253479004,15.30166721343994,10.351074695587158,11.014812707901,23.85622382164001,4.079516410827637,10.194003582000732,3.0238637924194336,22.235472202301025,27.50394630432129,27.24759411811829,8.645155429840088,5.359782934188843,5.94508957862854,4.955792427062988,3.721369028091431
