model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,condition,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9
rf,base+atom_numbers+support,no,10,0,10,223,-0.3429277307904712,2.360257821892551,11.800908206765174,,Al2O3,Blank,Cu-Na2WO4/SiO2,Fe-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,Mo-Na2WO4/SiO2,TiO2,0.9039860047037102,1.196406686132492,4.166123757816311,2.387834389343613,2.830673640485691,1.425277731043415,3.356313097301381,2.915887051658743,2.8124860651909644,1.607589795249193
rf,base+atom_numbers+support,no,10,0,10,216,0.1103139449135415,2.1155924897583125,9.91661684270829,,BN,Mn-MgWO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/CeO2,Mn-Na2WO4/MgO,Mn-WOx/SiO2,Nd-Na2WO4/SiO2,SiC,V-Na2WO4/SiO2,Y-Na2WO4/SiO2,2.0415768395686107,1.1808015573405508,1.717441297114665,2.8100073556253418,1.1906762087064169,2.8440816587052358,0.897047736024264,2.624103323065823,4.26952898889819,1.5806599325340296
rf,base+atom_numbers+support,no,10,0,10,224,0.402272141264132,2.082834997053693,8.551375930015801,,La-Na2WO4/SiO2,MgO,Mn-K2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiC,Mn-WOx/SiO2,Ni-Na2WO4/SiO2,Pd-Na2WO4/SiO2,Zn-Na2WO4/SiO2,1.7484285453277404,1.2347853516987866,2.66413742194218,1.862286772564033,1.926069656319,3.219880027793891,1.2006839727750531,2.847909032172144,2.693152892671241,1.431016297272862
rf,base+atom_numbers+support,no,10,0,10,244,-0.1112807194525167,2.6287693130280325,12.516912407181891,,Al2O3,Co-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Mn-Na/SiO2,Mn-Na2WO4/SiC,V-Na2WO4/SiO2,WOx/SiO2,ZSM-5,Zn-Na2WO4/SiO2,ZrO2,1.121442077039713,2.238388689520163,2.156906731542143,1.4502189168530617,3.5057813621768443,5.492998305685808,3.6969114457048105,3.007146580944317,1.807347765571796,1.81055125524167
rf,base+atom_numbers+support,no,10,0,10,222,0.0833340888614029,2.405350963860964,9.762451644767248,,BEA,Cu-Na2WO4/SiO2,Mn-CaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/BEA,Mn-Na2WO4/MgO,Y-Na2WO4/SiO2,1.08877242771836,3.037282812690993,3.933367656645177,2.4895827216454287,2.11993683336458,2.1343215063474776,2.3600775486807306,1.9339659127678088,1.584077990521661,3.372124228227418
rf,base+atom_numbers+support,no,10,0,10,235,0.2440154185164865,2.0466890661304173,7.978933310616217,,Mn-CaWO4/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/MgO,Mn-Na2WO4/Nb2O5,Mn-Na2WO4/SiC,Mn-Na2WO4/SiCnf,Mn-SrWO4/SiO2,Mo-Na2WO4/SiO2,SiCnf,TiO2,3.752940319977526,2.3809901099975104,1.6134929169661814,2.4706607944189165,1.8313417739247917,1.4139594456470514,1.336607311644175,2.2283007086168785,1.9901044053773271,1.4484928747338102
rf,base+atom_numbers+support,no,10,0,10,245,0.2791925635049163,1.916058118032491,7.348079306279686,,BEA,Blank,Cu-Na2WO4/SiO2,Mn-FeMoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2WO4/SiC,Nb2O5,Tb-Na2WO4/SiO2,Y-Na2WO4/SiO2,Zn-Na2WO4/SiO2,0.8054081995075376,1.4085819653097142,2.088707050357672,2.076544128193468,2.225602791679823,3.55051220195316,1.1483511662596866,1.7336217559591214,2.745985145085878,1.37726677601885
rf,base+atom_numbers+support,no,10,0,10,227,0.3004828665656955,2.0880357529453364,9.320114944922018,,Al2O3,BEA,CeO2,Co-Na2WO4/SiO2,Cu-Na2WO4/SiO2,Mn-CaWO4/SiO2,Mn-Na2WO4/SiCnf,Na/SiO2,Ti-Na2WO4/SiO2,WOx/SiO2,1.0177865251027567,0.6500777438894924,1.3105398472507583,1.807552991101329,3.3707745551561032,4.030304147621412,1.2986688256268542,2.613940064296451,2.493716586268632,2.374646961698092
rf,base+atom_numbers+support,no,10,0,10,218,0.4126248471447584,1.8653214644178957,7.47638068387051,,BEA,Mn-FeMoO4/SiO2,Mn-MgWO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/CeO2,Mn-Na2WO4/SiO2,Mn-ZnMoO4/SiO2,Mo-Na2WO4/SiO2,Tb-Na2WO4/SiO2,ZSM-5,1.230348620785975,0.9021467883636172,2.0340031605937536,1.79323699080088,2.701789518744381,3.271593058676638,1.8935939593725568,1.2780137135778422,1.768329295503931,1.7801595377593804
rf,base+atom_numbers+support,no,10,0,10,221,0.4909180874123114,1.8729284421998071,6.60417982642675,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,1.676864347728079,1.0275946475920203,3.270237852581364,1.693663301352237,1.3171875642488553,2.128563201633056,2.0840759488350296,1.4320336122729318,2.497573235850339,1.6014907099041584
rf,base+atom_numbers+support,no,10,0,10,241,-0.0146730672864905,2.1887539559754923,9.88965732866624,,CeO2,La-Na2WO4/SiO2,Mn-CaWO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiC,Mn-ZnMoO4/SiO2,SiC,SiO2,Tb-Na2WO4/SiO2,ZSM-5,1.6650830858858003,1.2855463143108947,4.0215800640667325,2.201451602688465,3.813939597894102,2.0189796302689045,2.1116812142203933,1.896375205612765,1.244026181085253,1.6288766637216137
rf,base+atom_numbers+support,no,10,0,10,212,0.3533848382460209,2.288120828285307,8.841663115102053,,Ce-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/SiO2,Mn-Na2WO4/TiO2,Mn-Na2WO4/ZrO2,SiC,Tb-Na2WO4/SiO2,WOx/SiO2,1.5610421796687215,1.883073386697035,2.352588411827296,2.9558193824530665,1.9178156515993665,1.9643255985260657,2.492082269627064,1.93816930526176,1.659962552640743,4.156329544551949
rf,base+atom_numbers+support,no,10,0,10,243,0.4251780017903916,2.1141638458418752,9.013068882034316,,Cu-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/Nb2O5,Mn-Na2WO4/SiO2,Mn-Na2WO4/ZSM-5,Mn-SrWO4/SiO2,Nd-Na2WO4/SiO2,Ni-Na2WO4/SiO2,Pd-Na2WO4/SiO2,2.232159930520715,2.407671150093057,2.5856505879547798,0.9206506914877448,3.446573410359884,2.7236677075548,1.3204640909460397,1.5238986650071316,1.7753048328227112,2.20559739167189
rf,base+atom_numbers+support,no,10,0,10,219,0.2112193438510555,1.976750307654864,6.224521258458958,,Blank,Mn-FeMoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/BEA,Pd-Na2WO4/SiO2,SiC,SiCnf,WOx/SiO2,ZrO2,1.1989162810929357,2.401189964062339,2.087846279425367,1.143075789551642,2.2088206528496297,2.6057340375716342,2.195177406994908,1.7731534241603295,2.541453758590166,1.612135482249686
