model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,condition,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9,training_time,ranking_top_3_accuracy,ranking_spearman_corr,shap_Temp,shap_CT,shap_CH4/O2,shap_Ar_flow,shap_O2_flow,shap_CH4_flow,shap_Total_flow,shap_M1_mol%,shap_M2_mol%,shap_M3_mol%,shap_M1_atom_number,shap_M2_atom_number,shap_M3_atom_number,shap_M1_electronegativity,shap_M1_inverse_ionization,shap_M1_d_electron_count,shap_M1_ionic_radius,shap_M1_oxidation_state,shap_M2_electronegativity,shap_M2_inverse_ionization,shap_M2_d_electron_count,shap_M2_ionic_radius,shap_M2_oxidation_state,shap_M3_electronegativity,shap_M3_inverse_ionization,shap_M3_d_electron_count,shap_M3_ionic_radius,shap_M3_oxidation_state,shap_support_surface_area,shap_Support_ID,true_yield_max_test_catalyst_0,true_yield_max_test_catalyst_1,true_yield_max_test_catalyst_2,true_yield_max_test_catalyst_3,true_yield_max_test_catalyst_4,true_yield_max_test_catalyst_5,true_yield_max_test_catalyst_6,true_yield_max_test_catalyst_7,true_yield_max_test_catalyst_8,true_yield_max_test_catalyst_9,pred_yield_max_test_catalyst_0,pred_yield_max_test_catalyst_1,pred_yield_max_test_catalyst_2,pred_yield_max_test_catalyst_3,pred_yield_max_test_catalyst_4,pred_yield_max_test_catalyst_5,pred_yield_max_test_catalyst_6,pred_yield_max_test_catalyst_7,pred_yield_max_test_catalyst_8,pred_yield_max_test_catalyst_9
xgboost,base+descriptors,yes,0,0,10,210,0.8160060909018827,1.1361371476348536,2.4838549127189364,2,Mn-CaWO4/SiO2,Mn-Li2WO4/SiO2,Mn-MgWO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiCnf,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,Ti-Na2WO4/SiO2,Zr-Na2WO4/SiO2,0.9096729691602566,1.267817434204949,1.337817526570073,1.0433358697538022,1.1782931988842693,0.6240007925916602,0.7297823992114009,1.6195222237816562,1.2102383554864813,1.440890706703987,224.34220027923584,1.0,0.9878787878787878,2.04387,0.09603708,0.34983265,0.38508296,0.25333837,0.15071747,0.011510951,0.054059785,0.047892205,0.03510449,,,,0.111153215,0.20071419,0.055439692,0.3081903,0.08261035,0.11338132,0.18798485,0.059131626,0.30842754,0.0876328,0.10366557,0.21575192,0.058076918,0.30156624,0.078965686,0.21299817,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,211,0.7866283382269714,0.9569543635252818,2.0115889710197634,2,CeO2,Fe-Na2WO4/SiO2,MgO,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/BN,Mn-Na2WO4/SiO2,Mn-Na2WO4/ZrO2,Zr-Na2WO4/SiO2,ZrO2,0.6519419568997842,1.045778100034337,0.5344005572795868,0.8267378828371013,1.5986880638275618,0.3752062257425284,1.8781518362333744,0.6726322912434001,1.4386528032208667,0.5473539179342765,204.58973288536072,1.0,0.9636363636363636,1.83799,0.044781644,0.36095324,0.38696462,0.308587,0.112411775,0.020003205,0.054332316,0.028480943,0.028332874,,,,0.105520464,0.1887694,0.037447434,0.2700881,0.091174915,0.09027545,0.18508838,0.03901742,0.29164615,0.10183167,0.109233715,0.1782865,0.036889393,0.27460253,0.09159237,0.44588885,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,212,0.7866078677084195,1.0705269922120573,2.215366508639604,2,BEA,Hf-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-FeMoO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na/SiO2,Mn-Na2WO4/ZSM-5,Mn-ZnMoO4/SiO2,Na/SiO2,SiCnf,0.8119854360156589,1.2543113920497306,1.7540541935555731,0.7801544270986391,1.2495904626522534,0.9179947440271023,1.2271003290458962,0.7257569989966759,1.3605834973299944,0.6720811922020382,191.54267573356628,1.0,0.9515151515151514,1.7564105,0.08411105,0.3547653,0.3802566,0.31192818,0.12199553,0.01792316,0.12383452,0.08721503,0.1442533,,,,0.11680473,0.15812267,0.056499165,0.35419223,0.08085687,0.11786151,0.18387051,0.061970025,0.3064859,0.06953963,0.1334203,0.1791701,0.07420281,0.26207972,0.0903365,0.24509989,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,213,0.8532782321414565,1.0126953540591546,2.021102045951337,2,Blank,Fe-Na2WO4/SiO2,MgO,Mn-CaWO4/SiO2,Mn-Na2WO4/SiCnf,Mn-Na2WO4/ZSM-5,SiO2,Ti-Na2WO4/SiO2,Y-Na2WO4/SiO2,ZSM-5,1.282587628364563,1.052092852651337,0.5492391599549188,0.8874881478812959,1.2254899721381105,1.2494645122245505,0.539742261921918,1.1596002735915008,1.4570870196230616,0.7241617122402898,153.86328101158142,1.0,0.8545454545454544,2.0233877,0.08303503,0.32630816,0.45826983,0.30305344,0.1598655,0.008340783,0.0725936,0.052590877,0.03090939,,,,0.114273675,0.3076082,0.042334814,0.28169653,0.06116659,0.11826815,0.26532975,0.04268394,0.36973092,0.07833678,0.1311258,0.33811584,0.03363041,0.2741529,0.0748674,0.39560452,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,214,0.8159640211029777,1.034509316471624,2.360704099248484,2,MgO,Mn-MoOx/SiO2,Mn-Na2WO4/CeO2,Mn-Na2WO4/TiO2,Mn-Na2WO4/ZSM-5,Mn-WOx/SiO2,V-Na2WO4/SiO2,WOx/SiO2,Y-Na2WO4/SiO2,Zr-Na2WO4/SiO2,0.5423093875690742,0.3498487977849113,1.1893084633791888,1.3245004533911928,1.1868401668395523,0.615438352595141,1.326384492855013,0.9541905015339088,1.4428360187786595,1.413436529989596,172.79819536209106,1.0,0.9515151515151514,1.8958459,0.092666574,0.34650812,0.40409178,0.2677134,0.15237778,0.014747489,0.15883887,0.07388124,0.08414779,,,,0.12801595,0.32226902,0.06524434,0.22363159,0.07615951,0.11233764,0.30802497,0.042355467,0.31954116,0.070181884,0.11912592,0.31145814,0.060106516,0.2441312,0.07294328,0.4376209,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,215,0.7743345742351544,0.9878778619505004,1.8654801252021345,2,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Nb2O5,Nd-Na2WO4/SiO2,TiO2,WOx/SiO2,Y-Na2WO4/SiO2,ZSM-5,ZrO2,1.2117258700470863,0.6564911064395198,0.796344956939603,1.375100985147335,1.259890940277665,0.9208236001045615,0.9773008919498068,1.4314031663794575,0.6753633319007025,0.5743337703192676,160.90717244148254,1.0,0.9515151515151514,1.7895486,0.10063873,0.3624991,0.38234523,0.27512556,0.10882599,0.008989402,0.12895969,0.076598935,0.08930565,,,,0.1270825,0.2529878,0.032993212,0.31335026,0.096896365,0.14599366,0.26755583,0.0467219,0.29134473,0.06931041,0.14472263,0.26802206,0.037714258,0.2898934,0.06832859,0.17679408,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,216,0.7746853310673634,1.0927380635160722,2.225545239041045,2,Al2O3,Blank,Cu-Na2WO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/ZSM-5,Nb2O5,Pd-Na2WO4/SiO2,ZSM-5,0.8816724703819664,1.28247708135181,0.8033727466066679,1.2691671801496436,0.9451380847081724,1.2331717122484136,1.2290350019931795,1.40343864608694,1.1669077546728983,0.7129999569610312,212.7052731513977,0.6666666666666666,0.9665698144513026,1.8106831,0.061775446,0.31970054,0.4206422,0.30770272,0.13838488,0.014661568,0.116353616,0.074212015,0.072620295,,,,0.17311658,0.13833173,0.13701414,0.28192362,0.07495018,0.20765376,0.15070361,0.14041014,0.27003446,0.08036346,0.21264362,0.16793318,0.13954133,0.24388835,0.085354224,0.34206495,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,217,0.764636422731174,1.1534548955055666,2.9637422941062184,2,Co-Na2WO4/SiO2,Fe-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/Nb2O5,Mn-Na2WO4/TiO2,Mo-Na2WO4/SiO2,Pd-Na2WO4/SiO2,Zn-Na2WO4/SiO2,2.076285766819377,1.0584867147383863,1.7611490948994954,0.3724872460630205,1.012301451217981,0.7663363977678027,1.3296094113367574,0.951590067324815,1.167274850010872,1.0390279548771586,167.144385099411,0.6666666666666666,0.9030303030303028,1.8683524,0.0811277,0.40454042,0.41656047,0.2519286,0.14165017,0.008150023,0.06600272,0.053412788,0.04292898,,,,0.13102943,0.13597666,0.09652076,0.23720826,0.08555624,0.13422525,0.12951873,0.08576483,0.24505115,0.08074206,0.12085509,0.11879309,0.094320774,0.26946813,0.09503569,0.47900024,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,218,0.7641002881001759,1.1156292891883186,2.496047774297088,2,Ce-Na2WO4/SiO2,CeO2,La-Na2WO4/SiO2,Mn-BaWO4/SiO2,Mn-K2MoO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/Nb2O5,Mn-Na2WO4/ZSM-5,Nd-Na2WO4/SiO2,WOx/SiO2,1.304709675974316,0.6463659853846939,1.79764905963415,0.7972666299619057,1.0168451529814873,1.3622036363901917,0.7143526120686238,1.2367791725676738,1.3043787499710364,0.9757422169491098,152.4062566757202,0.6666666666666666,0.9393939393939392,1.8854814,0.08380217,0.33226147,0.42195117,0.2979417,0.14490241,0.011402257,0.079997376,0.07777649,0.073977105,,,,0.14946182,0.16166484,0.037107382,0.3150892,0.06516448,0.15326872,0.14380427,0.032350156,0.33491683,0.07694372,0.156993,0.15092567,0.042007875,0.297248,0.080104716,0.45785722,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,219,0.8026615092654742,1.1563369988593055,2.4613025051778887,2,CeO2,Eu-Na2WO4/SiO2,Mn-K2WO4/SiO2,Mn-MgWO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/SiCnf,Mn-Na2WO4/ZSM-5,Mn-ZnMoO4/SiO2,V-Na2WO4/SiO2,ZSM-5,0.6766557622838903,1.4434398603439331,1.6218019812489732,1.3087633583869462,1.371118702557352,1.194201447168986,1.2581826134964271,0.7167490351788792,1.2669268797503577,0.7055303481773094,223.4018383026123,1.0,1.0,2.0265896,0.0744778,0.3032872,0.43095785,0.310469,0.14363171,0.021759387,0.056630787,0.050606295,0.036268353,,,,0.14083531,0.21941772,0.047441304,0.24669261,0.0820374,0.1412039,0.22883692,0.043155726,0.22502376,0.08422397,0.13368157,0.26109365,0.046193853,0.24667017,0.09943576,0.29520684,,,,,,,,,,,,,,,,,,,,,
