model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9
xgboost_old_script,base+atom_numbers+support,yes,10,0,10,201,0.5536807019997078,1.4447773697521122,3.758592223682624,Co-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2WO4/BN,SiC,SiO2,TiO2,WOx/SiO2,ZSM-5,ZrO2,2.1113037037628666,1.9874677875306872,1.8541956256274823,1.2019061843002286,0.919453381912576,1.3255987414386536,1.139050631807358,1.4668677441375677,1.6807276340215294,0.7612022629821742
xgboost_old_script,base+atom_numbers+support,no,10,0,10,201,0.5232052874677604,1.5492041274629258,4.015235072393161,Co-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2WO4/BN,SiC,SiO2,TiO2,WOx/SiO2,ZSM-5,ZrO2,2.168424535912496,2.0321231132304227,1.71723307494764,1.2666285940673616,0.8753176650322146,1.1764662011271274,1.3311594525283132,2.268633229586261,1.875123796678252,0.780931611519169
xgboost_old_script,base+descriptors,yes,10,0,10,201,0.5005012747693169,1.566923337219413,4.206432553562137,Co-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2WO4/BN,SiC,SiO2,TiO2,WOx/SiO2,ZSM-5,ZrO2,2.1868471426378795,2.233435896215616,1.891719836725129,1.396642083691226,1.0439327822846396,2.1533677028202347,0.9146124425368314,1.0722882231258513,1.9217754340006243,0.8546118281560915
xgboost_old_script,base+descriptors,no,10,0,10,201,0.4898039865529147,1.5834653914074794,4.2965177111719575,Co-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2WO4/BN,SiC,SiO2,TiO2,WOx/SiO2,ZSM-5,ZrO2,2.2865570453416417,2.528417117529445,1.5951454713167967,1.19977268749917,0.924519854668114,2.263260388341215,0.9264335919413026,1.2812732269242406,1.960378979265138,0.8688955512477292
xgboost_old_script,all,yes,10,0,10,201,0.5232760366002194,1.5232922619742693,4.014639272166094,Co-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2WO4/BN,SiC,SiO2,TiO2,WOx/SiO2,ZSM-5,ZrO2,2.152204907332305,2.1257489102637326,1.8450313132118297,1.3616787054693258,0.9972744544623074,2.0649612102178097,0.8754581687211801,1.0758038412557087,1.8718014869563009,0.8629596218521948
xgboost_old_script,all,no,10,0,10,201,0.524739631897907,1.5313329305899224,4.002313885544557,Co-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2WO4/BN,SiC,SiO2,TiO2,WOx/SiO2,ZSM-5,ZrO2,2.244685458242893,2.191768575288631,1.53881937706912,1.2543768743122063,0.8763804463821429,2.149981249201077,0.8811041837082141,1.3062498534125864,1.9439693938720009,0.925993894410354
xgboost_old_script,base+atom_numbers+support,yes,10,0,10,202,0.479309613962229,2.011105229968136,7.577372922689025,Al2O3,BN,Co-Na2WO4/SiO2,Fe-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-WOx/SiO2,Ni-Na2WO4/SiO2,V-Na2WO4/SiO2,Y-Na2WO4/SiO2,0.9497029676640198,1.639475987315592,1.9628583230464545,1.8068002635350933,1.7003369509511523,2.631031608040686,0.8202219715935213,2.125557025019769,3.973924774395095,2.501142428119977
xgboost_old_script,base+atom_numbers+support,no,10,0,10,202,0.5421673082447909,1.934017234782102,6.662633178282071,Al2O3,BN,Co-Na2WO4/SiO2,Fe-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-WOx/SiO2,Ni-Na2WO4/SiO2,V-Na2WO4/SiO2,Y-Na2WO4/SiO2,0.8776218929514288,1.6064845696767722,1.983542071912024,1.826351342311612,1.6821854671284004,2.684096497606348,1.4222669892951296,2.19355100704564,2.746840575227031,2.317231934666633
xgboost_old_script,base+descriptors,yes,10,0,10,202,0.4446970774510521,2.0899923598607657,8.081073593909698,Al2O3,BN,Co-Na2WO4/SiO2,Fe-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-WOx/SiO2,Ni-Na2WO4/SiO2,V-Na2WO4/SiO2,Y-Na2WO4/SiO2,0.9205212685176068,1.994109411475559,2.301247303844602,1.7113271857687722,2.1091855952861134,3.0538446145421934,0.9569950924082486,2.5174187606793867,2.634930848280589,2.700343517804588
xgboost_old_script,base+descriptors,no,10,0,10,202,0.3958477232164631,2.2041626907752616,8.79195626813132,Al2O3,BN,Co-Na2WO4/SiO2,Fe-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/SiO2,Mn-WOx/SiO2,Ni-Na2WO4/SiO2,V-Na2WO4/SiO2,Y-Na2WO4/SiO2,0.9546262198776284,1.969531476140988,2.3268223428781387,1.954558194042356,2.2898212138094283,3.0560759772139567,1.960231055782901,2.742906990410001,2.2943827671750827,2.492670670422139
