model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,condition,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9,training_time,ranking_top_3_accuracy,ranking_spearman_corr,shap_Temp,shap_CT,shap_CH4/O2,shap_Ar_flow,shap_O2_flow,shap_CH4_flow,shap_Total_flow,shap_M1_mol%,shap_M2_mol%,shap_M3_mol%,shap_M1_atom_number,shap_M2_atom_number,shap_M3_atom_number,shap_M1_electronegativity,shap_M1_inverse_ionization,shap_M1_d_electron_count,shap_M1_ionic_radius,shap_M1_oxidation_state,shap_M2_electronegativity,shap_M2_inverse_ionization,shap_M2_d_electron_count,shap_M2_ionic_radius,shap_M2_oxidation_state,shap_M3_electronegativity,shap_M3_inverse_ionization,shap_M3_d_electron_count,shap_M3_ionic_radius,shap_M3_oxidation_state,shap_support_surface_area,shap_Support_ID,true_yield_max_test_catalyst_0,true_yield_max_test_catalyst_1,true_yield_max_test_catalyst_2,true_yield_max_test_catalyst_3,true_yield_max_test_catalyst_4,true_yield_max_test_catalyst_5,true_yield_max_test_catalyst_6,true_yield_max_test_catalyst_7,true_yield_max_test_catalyst_8,true_yield_max_test_catalyst_9,pred_yield_max_test_catalyst_0,pred_yield_max_test_catalyst_1,pred_yield_max_test_catalyst_2,pred_yield_max_test_catalyst_3,pred_yield_max_test_catalyst_4,pred_yield_max_test_catalyst_5,pred_yield_max_test_catalyst_6,pred_yield_max_test_catalyst_7,pred_yield_max_test_catalyst_8,pred_yield_max_test_catalyst_9
xgboost,base+descriptors,yes,0,0,10,280,-6.248013200444023,5.15304258080765,32.23471690955217,700,Co-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Hf-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Na2WO4/BEA,Na2WO4/SiO2,Ni-Na2WO4/SiO2,SiC,ZrO2,5.196957107075939,5.09332550878878,5.15745038346008,4.130209008366973,6.928971651086101,5.103625070077402,6.965492784623747,5.833832642281497,3.632287028630575,3.4882746236854127,303.0952501296997,0.3333333333333333,0.6121212121212121,0.91875374,0.08695565,0.5092285,0.5146275,0.2057221,0.14364628,0.040707953,0.0806525,0.07712315,0.07438249,,,,0.12961718,0.17921315,0.062884875,0.33341947,0.0974232,0.12427762,0.17708229,0.06495508,0.33226287,0.09649871,0.126953,0.15807106,0.07120983,0.29308423,0.11215331,0.25113687,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,281,-6.728291499923618,4.37024412355503,25.14544330291009,700,Eu-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,SiCnf,Ti-Na2WO4/SiO2,Y-Na2WO4/SiO2,Zr-Na2WO4/SiO2,5.082175821993086,4.106162242933555,6.938299049492235,4.300827538128252,3.6096252546487033,3.28336518049792,0.9515105690186222,7.282115790314145,3.663061323430803,4.485298465092977,247.18340158462524,0.3333333333333333,0.5151515151515151,0.7940833,0.12232371,0.5093117,0.48211128,0.24007308,0.11867944,0.016971936,0.08925588,0.080863185,0.07779739,,,,0.19240068,0.3004967,0.06403985,0.38107452,0.11467584,0.15820211,0.3320464,0.111766085,0.31152457,0.10532667,0.15414059,0.29552987,0.08724106,0.3294444,0.099996425,0.13537514,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,282,-2.814849829609716,3.813169569295314,22.677326417094857,700,La-Na2WO4/SiO2,Mn-BaWO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/BN,Mn-Na2WO4/MgO,Mn-Na2WO4/SiC,SiO2,ZSM-5,Zn-Na2WO4/SiO2,4.134504627916548,2.352469367180709,5.337624648941888,5.109129042448821,1.174968283176422,5.145460078451368,7.456440393483198,1.8671331940756903,1.810036875075764,3.743929182202728,218.80357241630557,0.6666666666666666,0.6727272727272726,0.7172343,0.07167639,0.41506794,0.37735432,0.21120149,0.11788044,0.020789726,0.058483105,0.05919272,0.044090845,,,,0.11254995,0.12345533,0.07973316,0.36197758,0.14326276,0.10795084,0.11531768,0.08534338,0.36030364,0.10347288,0.09702073,0.12323072,0.08018296,0.3532252,0.124139786,0.8725136,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,283,-3.6301265712467545,4.063590201653816,24.91302593888245,700,Cu-Na2WO4/SiO2,Hf-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-MgWO4/SiO2,Mn-Na2WO4/ZSM-5,Na/SiO2,Nb2O5,SiC,ZSM-5,2.3451073725355998,5.170549626703616,6.923141625854704,4.3152270997453614,6.297832516122748,6.474642396061508,1.8684150828476307,1.8557316813204023,3.60564320438438,1.7796114109622103,223.0580575466156,0.6666666666666666,0.6079055436800646,0.86710554,0.08849674,0.44416422,0.43873662,0.2842752,0.124313064,0.025125647,0.14280656,0.1393625,0.09160751,,,,0.17424601,0.18503976,0.10706992,0.27637923,0.11621834,0.19112366,0.22315602,0.13686717,0.2456344,0.124759495,0.21206962,0.19920151,0.10152239,0.2713404,0.10942441,0.40241295,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,284,-3.2300142950815878,3.7549995942347576,18.922836170334875,700,BEA,BN,Co-Na2WO4/SiO2,Cu-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/MgO,Mn-Na2WO4/SiCnf,WOx/SiO2,ZrO2,2.4443687608506948,3.237975894742542,5.236277510854933,2.342262925472524,5.300173322227266,2.7998910282497054,5.134389338007679,5.78619415336185,1.7903219857922308,3.478141022788153,283.39234375953674,0.6666666666666666,0.7939393939393938,0.66677123,0.11466568,0.43215898,0.3575216,0.26268244,0.12348889,0.008875972,0.10764971,0.06988187,0.12654439,,,,0.11227067,0.12078168,0.12777637,0.22707053,0.121770404,0.12460199,0.14133762,0.11360983,0.26118788,0.12050598,0.11693986,0.1078997,0.1310241,0.23080033,0.11998143,0.7202242,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,285,-6.773521713389952,4.508149029591293,30.20010400140049,700,CeO2,Mn-FeMoO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/MgO,Mn-Na2WO4/TiO2,Ni-Na2WO4/SiO2,SiC,SiCnf,TiO2,Zr-Na2WO4/SiO2,4.127594190306134,2.013906310874003,5.428415556483799,5.156907829311159,10.48546713091709,5.839269920366782,3.618639687564638,0.9518097120937374,2.8949446631802456,4.564535294815347,260.4736742973328,0.6666666666666666,0.5878787878787878,0.8022063,0.1389978,0.43383858,0.36486313,0.32244954,0.117725,0.012815825,0.17976496,0.08871967,0.090839505,,,,0.14573598,0.17273723,0.05696203,0.3075639,0.14434753,0.13950798,0.18739349,0.062940575,0.3185835,0.12490632,0.14385618,0.1658788,0.06152984,0.33352402,0.11579657,0.7324413,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,286,-3.972242189809848,3.788077693965148,21.491090737383757,700,Mn-FeMoO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/BEA,Mn-Na2WO4/Nb2O5,Mn-Na2WO4/SiO2,Pd-Na2WO4/SiO2,SiCnf,Zn-Na2WO4/SiO2,2.013413841569865,5.288442196536947,2.80806389508424,2.796311249445986,5.121608283608048,2.680897851233129,8.121590899714716,4.324717123552605,0.9703667677938936,3.755364831112049,345.0402386188507,0.6666666666666666,0.709090909090909,0.69826734,0.07805769,0.422041,0.38411373,0.28386182,0.12899761,0.015573869,0.09985508,0.088973,0.07954137,,,,0.11894936,0.15753351,0.09601644,0.29069588,0.13480856,0.10652877,0.14490804,0.08796954,0.31348267,0.160874,0.11600481,0.15927504,0.11350238,0.2630892,0.119520135,0.8390712,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,287,-2.9168759922521192,3.449463663289392,17.91400449968275,700,BN,CeO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/BN,Na2WO4/SiO2,Pd-Na2WO4/SiO2,SiC,TiO2,WOx/SiO2,3.1808266484075123,4.171917876402537,6.020861979502219,0.3731522350785908,1.1770966075526343,6.921784207423528,4.272136170908257,3.668743189705743,2.9696315513716804,1.7384861665412232,268.9323556423187,0.6666666666666666,0.709090909090909,0.6369301,0.08890064,0.41929448,0.3575631,0.25615677,0.1002759,0.0096105635,0.17841098,0.15030967,0.24456514,,,,0.12011439,0.19618921,0.09063175,0.4286296,0.072271384,0.12424429,0.22070292,0.08370551,0.41515723,0.07454633,0.10183711,0.14341553,0.07043872,0.4183037,0.07580528,0.55520004,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,288,-3.862768867972575,3.973599663610811,22.28530242501829,700,BN,Co-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-K2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-ZnMoO4/SiO2,Nd-Na2WO4/SiO2,V-Na2WO4/SiO2,WOx/SiO2,ZSM-5,3.210427286061976,5.2643055608095946,4.196748122639126,7.910140602102986,5.286341055543335,3.2737737193041374,4.618319264385436,2.3527535589536037,1.803473768874451,1.819713697433472,207.9115695953369,0.6666666666666666,0.7575757575757575,0.80764526,0.14602931,0.45051575,0.44022453,0.34216785,0.14143464,0.021943336,0.10921916,0.120353095,0.044606797,,,,0.13977952,0.26596957,0.07392796,0.34252208,0.11791974,0.15699531,0.27675232,0.061250854,0.34990197,0.11073396,0.17342526,0.3114658,0.07085884,0.28727332,0.11417275,0.16615495,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,289,-4.344200493277963,3.937730569298069,21.595733047207027,700,BEA,Ce-Na2WO4/SiO2,Fe-Na2WO4/SiO2,Hf-Na2WO4/SiO2,Mn-CaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-K2MoO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/ZrO2,Mn-WOx/SiO2,2.462669511040052,4.971298888215312,4.168798053010747,5.190504748512198,1.5867009301207684,2.0038654129979787,6.937644660031354,5.109633856261218,3.324560507668389,3.6216291251226713,225.4050664901733,0.3333333333333333,0.6727272727272726,0.70191276,0.102773994,0.44791758,0.41945416,0.2477535,0.11563357,0.011190169,0.0660629,0.06284312,0.08855054,,,,0.14852759,0.21961188,0.03848137,0.37411934,0.122590184,0.14883466,0.24136746,0.04546996,0.39948928,0.11987748,0.1653374,0.2275411,0.05117939,0.31768262,0.12329852,0.34528697,,,,,,,,,,,,,,,,,,,,,
