model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,training_time,val_loss_0,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6,val_loss_7,val_loss_8,val_loss_9,val_loss_10,val_loss_11,val_loss_12,val_loss_13,val_loss_14,val_loss_15,val_loss_16,val_loss_17,val_loss_18,val_loss_19,val_loss_20,val_loss_21,val_loss_22,val_loss_23,val_loss_24,mae_0,mae_1,mae_2,mae_3,mae_4,mae_5,mae_6,mae_7,mae_8,mae_9,mae_10,mae_11,mae_12,mae_13,mae_14,mae_15,mae_16,mae_17,mae_18,mae_19,mae_20,mae_21,mae_22,mae_23,mae_24,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,mse_6,mse_7,mse_8,mse_9,mse_10,mse_11,mse_12,mse_13,mse_14,mse_15,mse_16,mse_17,mse_18,mse_19,mse_20,mse_21,mse_22,mse_23,mse_24,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,r2_20,r2_21,r2_22,r2_23,r2_24,timing_0,timing_1,timing_2,timing_3,timing_4,timing_5,timing_6,timing_7,timing_8,timing_9,timing_10,timing_11,timing_12,timing_13,timing_14,timing_15,timing_16,timing_17,timing_18,timing_19,timing_20,timing_21,timing_22,timing_23,timing_24
neural_network,base+atom_numbers+support,no,39,10,10,201,-4.0076103,4.134444,42.170624,98.4924261569977,10.0627163251241,17.4020561218262,9.32161154747009,11.9521013895671,10.0157284736633,13.9839450836182,21.5179546356201,8.32625993092855,18.6857107162476,11.1728156089783,18.6984216372172,23.2023727416992,11.4214281082153,18.1856506347656,17.1396938959758,20.9997951507568,10.6086700439453,18.134068330129,18.1633653640747,9.70396343866984,17.9730021476746,16.9886484146118,13.739403406779,16.5449379920959,18.0126629829407,2.187579,1.9541106,2.0027435,2.4865782,4.3061633,3.8605804,3.7482247,4.134444,2.9421403,2.280608,3.1873956,3.8140814,2.5997107,2.8928611,3.3298879,3.398865,3.6653388,3.112523,2.8928187,4.5779014,3.180297,3.1290088,2.3003585,2.3449903,2.8828094,7.886139,6.160919,6.5012336,9.793544,45.58032,38.19276,25.140903,42.170624,13.846267,8.447289,16.04681,26.193869,11.16287,13.424169,18.746271,24.17116,28.43083,16.030563,13.171611,64.98939,16.51891,15.342918,8.540314,8.875464,13.674378,0.06354928,0.26841295,0.2280019,-0.16294813,-4.412499,-3.535253,-1.9853921,-4.0076103,-0.6441945,-0.0030852556,-0.9055011,-2.110428,-0.3255508,-0.59407175,-1.2260523,-1.8702383,-2.376059,-0.90357184,-0.56408155,-6.7172565,-0.9615612,-0.82191646,-0.014131665,-0.053929567,-0.62378335,413.301621198654,127.47755241394,405.54280090332,95.0225532054901,674.71055150032,149.154290914536,4.23614692687988,98.4924261569977,63.5794098377228,56.2700629234314,28.2198705673218,4.7019579410553,123.725813388824,91.6252086162567,154.595633268356,46.3035368919373,87.6828157901764,310.401465892792,92.8752069473267,95.7225577831269,63.3725557327271,53.447808265686,95.0735714435577,128.34243273735,62.597151517868
neural_network,base+atom_numbers+support,no,39,10,10,206,0.30091882,2.5870523,12.434272,27.7660956382751,9.05686345100403,9.35447945594788,8.0174249013265,9.63157396316528,8.28791151046753,7.49451001485189,8.5866429011027,7.8477002620697,7.26014776229858,9.00873513221741,7.72213916778564,8.32142353057861,8.1778089205424,9.49675146738688,6.83738199869792,10.3876926104228,8.76250823338827,7.65758275985718,9.17659982045492,8.85729821523031,7.12361061573029,7.1958028793335,8.43132185935974,9.56799602508545,8.94399318695068,2.8389652,2.8810427,2.7831295,2.8009925,2.75041,2.906557,2.8414426,2.5670373,2.636692,2.7688055,2.7873034,2.7830772,2.8139372,2.8075252,2.5870523,3.1950705,2.977123,2.8452353,2.9239352,2.8888988,2.5299425,2.7164338,2.8132486,2.820309,2.8074188,14.551568,13.329851,14.338289,13.828159,14.346846,16.208279,15.320663,11.909878,12.47006,14.478494,14.577986,14.719739,15.063996,15.432234,12.434272,17.854277,15.251074,15.332883,16.887106,15.956981,11.3393345,13.400614,14.985125,15.770587,14.2507105,0.18187994,0.25056744,0.1938709,0.22255152,0.1933899,0.08873612,0.13863975,0.33040136,0.29890674,0.1859883,0.18039465,0.17242497,0.15307009,0.13236701,0.30091882,-0.003805399,0.1425522,0.13795274,0.050571024,0.10286462,0.3624785,0.246589,0.15750444,0.11334407,0.19879478,17.981383562088,116.098915815353,44.9901773929596,12.3467729091644,25.0078666210175,104.833347082138,81.1173005104065,20.4797101020813,30.4521205425262,21.7192521095276,57.5184984207153,16.9327366352081,25.8912456035614,47.1674435138702,27.7660956382751,1.42080426216125,20.1387729644775,113.263015985489,34.6108000278473,18.499048948288,23.8739154338837,30.366687297821,126.288330316544,12.597083568573,16.1709690093994
neural_network,base+atom_numbers+support,no,39,10,10,202,0.48490632,2.1869276,7.4959273,24.364958524704,5.18946758906047,5.29338641166687,5.31895597775777,5.64512071609497,5.13049689928691,5.26755666732788,5.73536157608032,5.45794733365377,5.06761876742045,5.87862749099732,5.25746545791626,5.68488883972168,5.56185302734375,5.93265495300293,5.72282342910767,5.25909790992737,6.08623061180115,5.21093384424845,7.44713549613953,6.03270211219788,5.17924388249715,5.37825293540955,5.28283985455831,5.42189359664917,5.83007125854492,1.9171011,2.150765,1.9433743,2.246785,2.18944,2.0395215,1.9908316,2.4214864,2.1869276,2.3777077,1.9599736,2.043977,1.9561322,2.0972788,2.244399,2.2400734,2.615691,2.1720507,2.797505,2.4363155,2.148481,2.0822852,1.9396324,1.9882901,2.307823,6.532971,7.2129097,6.5183997,7.885641,7.659252,6.9849854,6.692552,8.950131,7.4959273,8.753485,6.3233824,6.7248445,6.609372,7.1108584,7.8646684,7.7217846,10.12523,7.421377,11.549349,9.056536,7.300304,6.8823614,6.537225,6.5933313,8.198018,0.55107725,0.50435424,0.55207855,0.45812654,0.47368318,0.52001643,0.5401114,0.38497853,0.48490632,0.39849138,0.56547946,0.5378924,0.54582727,0.51136684,0.45956773,0.46938616,0.30422992,0.4900291,0.20636946,0.37766677,0.49834883,0.5270684,0.55078495,0.5469295,0.43666112,26.6065487861633,56.775482416153,19.6713037490845,26.2933909893036,32.5257525444031,106.699950218201,28.3275549411774,23.7711048126221,24.364958524704,113.00405216217,39.0722854137421,100.366703748703,29.0354449748993,27.2886030673981,119.132940530777,90.3428399562836,18.8772671222687,23.5924942493439,31.0516505241394,105.169077634811,42.2426722049713,17.7613625526428,35.8565492630005,24.6680910587311,88.655686378479
neural_network,base+atom_numbers+support,no,39,10,10,203,0.36272228,1.8046877,7.3973427,162.812386512756,5.73372850418091,9.68049788475037,10.4978315353394,9.9083841641744,9.15089292526245,11.2757483482361,11.1210592746735,7.32898647785187,10.088501739502,9.72948837280273,10.0649530092875,8.72792959213257,6.49020886421204,8.84634780883789,9.5388978322347,12.7434116999308,10.5481770833333,10.1953938802083,9.59605183601379,8.60745755831401,9.02704224586487,8.70111735661825,9.91637341181437,9.82775259017944,9.90044555664063,1.8046877,2.5592542,2.7789633,2.6688745,2.4093254,2.6583655,2.6835938,2.0616956,2.2596912,2.6373785,2.7695696,2.4601583,1.854314,2.477902,2.555438,3.0846486,2.6684844,2.6525364,2.39862,2.0562956,2.374672,2.3763483,2.623381,2.625526,2.4333274,7.3973427,11.001861,12.423267,12.663998,9.75886,12.135437,12.560936,8.808229,9.130082,12.033694,12.4862175,11.446777,7.543926,11.2829,11.665885,14.570842,12.800077,12.469756,10.430237,9.308249,10.305516,10.449937,12.375947,12.402901,11.12753,0.36272228,0.052194655,-0.070258856,-0.090997696,0.15927869,-0.04546249,-0.08211887,0.24117506,0.21344757,-0.03669727,-0.075682044,0.013865292,0.3500942,0.027983248,-0.005010724,-0.25527143,-0.10272086,-0.07426381,0.10143983,0.19809854,0.112184405,0.09974271,-0.066182256,-0.06850433,0.041368306,162.812386512756,136.681030035019,17.1799287796021,111.406499862671,21.7259154319763,37.1418526172638,14.6177036762238,16.3437814712524,41.9438893795013,36.5298087596893,1.24356055259705,128.494104385376,105.926831960678,31.5649814605713,18.7293634414673,114.139951229095,14.5469424724579,57.5280437469482,38.2332468032837,28.8316502571106,39.7828872203827,25.4514834880829,19.0679471492767,22.1597838401794,17.8972046375275
neural_network,base+atom_numbers+support,no,39,10,10,207,-0.16409767,2.1591263,10.214771,58.0200169086456,4.90395431518555,5.03259000778198,6.43952169418335,3.56774997711182,4.13069939613342,3.01843460400899,5.016215244929,11.7111349105835,16.8177835464478,4.07376098632813,13.7113635063171,3.88764410018921,4.87174797058106,17.5284063339233,15.0871197382609,9.81530981063843,8.39476839701335,7.08257166544596,15.1295887629191,3.84806332588196,3.74392437934876,3.43830986022949,13.7107528050741,24.4983075459798,5.16386456489563,1.8430252,1.7890524,1.9841989,2.1588683,2.1083205,2.1591263,2.3933413,3.0519445,2.8967404,2.1345308,2.8977053,2.6596026,1.7308273,2.377362,3.484409,1.9199295,2.144705,1.7559712,3.103391,2.1464543,2.070913,2.229161,3.3253787,2.5224977,2.2712681,6.4373536,6.0743766,6.8020487,10.05056,10.02704,10.214771,10.25308,15.101277,14.032576,10.322759,14.0672245,15.932114,5.7697244,9.876747,18.826075,6.6833086,7.981383,5.8544984,16.379852,9.862653,9.494192,10.6199045,17.498735,11.2668495,9.76636,0.26638514,0.30775082,0.22482365,-0.14538372,-0.1427033,-0.16409767,-0.16846347,-0.72097456,-0.59918296,-0.17640412,-0.60313165,-0.81565845,0.34246963,-0.12557566,-1.1454606,0.23835558,0.09042418,0.3328086,-0.8666836,-0.123969436,-0.0819788,-0.21026754,-0.99419403,-0.2839948,-0.112995744,115.005244493485,109.166210174561,40.0090029239655,51.3923213481903,42.0578472614288,58.0200169086456,4.61581182479858,19.5024380683899,1.12149238586426,46.5354280471802,11.4471211433411,77.4498205184937,107.068939685822,1.31035399436951,41.953141450882,116.322020292282,21.4629604816437,24.145928144455,5.57426524162293,43.3921408653259,91.2533001899719,135.896614551544,8.18983292579651,1.161860704422,113.135545730591
neural_network,base+atom_numbers+support,no,39,10,10,215,0.33871967,1.6898603,6.209983,110.655387878418,16.8697853088379,17.6975938796997,16.7778716087341,16.8884188652039,17.3307549158732,15.6223861217499,12.5101239204407,17.7116302490234,15.6403535207113,37.9240999221802,16.187983194987,15.9944033622742,10.2401310920715,41.2308246612549,17.310365486145,15.7075381278992,31.2182600975037,20.9330962498983,17.1472166061401,17.6952317555745,18.4575038909912,24.8115251541138,16.277348836263,16.7896315256755,9.18206129074097,3.1663117,2.860135,2.6901078,2.9398587,3.3503065,3.2595797,2.1730115,2.8691535,3.081212,1.7941678,3.2158082,2.521956,2.073159,2.2956488,2.8868089,2.7096436,2.5115714,4.090285,2.8104098,3.358651,2.912992,2.4401436,3.189211,3.1866748,1.6898603,17.463642,14.768519,13.105734,15.636455,19.358881,25.519274,8.602258,15.213012,16.766386,5.791652,17.92911,12.452727,8.299557,8.572254,14.752134,13.270085,11.325399,26.170918,14.706787,19.637316,15.538278,11.403136,18.027376,17.575567,6.209983,-0.859645,-0.5726503,-0.3955859,-0.6650739,-1.0614626,-1.7174623,0.0839743,-0.61998284,-0.7853966,0.38326627,-0.9092109,-0.32604933,0.1162079,0.08716929,-0.57090557,-0.41308713,-0.20600402,-1.7868538,-0.56607664,-1.0911121,-0.65461934,-0.21428192,-0.9196751,-0.87156355,0.33871967,34.6626541614533,9.48133587837219,7.76361966133118,12.6741578578949,4.90981435775757,133.224066019058,10.9428734779358,78.4385833740234,11.709568977356,37.0585882663727,5.01584243774414,15.0511801242828,31.3637752532959,97.988352060318,14.9304325580597,79.4535222053528,6.42001724243164,1.05846524238586,16.4670433998108,5.84293389320374,45.086651802063,12.2615652084351,8.01241993904114,43.723778963089,110.655387878418
neural_network,base+atom_numbers+support,no,39,10,10,209,0.50982034,1.7414618,6.5182886,89.5434696674347,3.60231142044067,4.23992228507996,35.2735063552857,4.10670797030131,5.27077195644379,33.3091420173645,3.49631957213084,18.1408287684123,3.42905791600545,3.19984742005666,7.70217623710632,18.5195025444031,17.8714904785156,4.06888604164124,17.9074675242106,17.519687016805,4.25889166196187,4.67061538696289,15.2285523414612,10.8868699073792,16.5927627881368,4.52332369486491,4.22048815091451,3.53047053019206,11.5604960123698,1.7756447,1.9255055,3.0624802,1.7454678,2.1235766,3.3445683,2.0070002,4.526241,1.854783,1.7414618,2.6988833,4.0351195,4.377889,1.8825583,4.451025,4.3773026,2.104176,1.6628307,4.030978,2.5307734,4.3446693,1.7807448,2.0653007,1.8239471,2.6304471,6.747807,7.664265,16.57633,6.646152,9.110168,19.108896,8.712622,32.755127,7.2005258,6.5182886,13.545058,27.41621,30.965405,7.418175,31.954739,31.139496,8.941827,6.005563,27.626375,12.65028,30.407488,7.0516376,8.561653,7.258108,13.0822115,0.4925604,0.42364216,-0.24655116,0.5002049,0.31490922,-0.4370017,0.344805,-1.4632077,0.45851564,0.50982034,-0.018597484,-1.0617175,-1.3286192,0.44214827,-1.4030178,-1.341711,0.32756865,0.54837763,-1.0775218,0.04869044,-1.2866633,0.46971214,0.35615796,0.45418543,0.016208947,108.747582912445,24.8348524570465,1.16511869430542,131.635104179382,101.581064462662,1.2785267829895,59.56392121315,4.14684820175171,60.3256785869598,89.5434696674347,34.8849155902863,23.6193828582764,14.3352599143982,114.040511131287,12.6145558357239,10.6496307849884,52.813107252121,48.4343340396881,14.5862817764282,41.6826927661896,6.69827222824097,222.401976108551,140.27990937233,28.5239825248718,27.323789358139
neural_network,base+atom_numbers+support,no,39,10,10,213,-0.01476264,2.4431372,12.282892,44.6853296756744,14.5598392486572,10.4957877794902,10.1579703489939,12.291153049469,11.4371337890625,15.5078179041545,11.5189514160156,14.4578844706217,9.49167609214783,13.4258019447327,9.71599020957947,13.3104495048523,9.77647876739502,10.5586193084717,11.0042098522186,10.3840756416321,11.9375546773275,11.7311070760091,11.6100766181946,24.2591247558594,12.9478483200073,10.1179641723633,10.8374891281128,12.1979454040527,9.48330392837524,2.934704,2.4813387,3.7082047,2.6980667,2.5816524,3.4282274,2.451046,2.9460897,2.5529313,2.9460254,2.5506752,2.6411214,2.4848335,2.621408,2.3972197,2.6245766,3.0548673,3.4561849,2.8148973,2.9181578,2.6151218,2.4143653,2.4835203,2.6613743,2.4431372,17.169422,12.837987,50.237396,14.947222,13.648135,22.353228,11.960231,17.85879,13.728496,20.65199,13.603192,14.963634,13.988028,16.098444,11.162941,15.489808,24.971655,31.664751,18.894505,14.042341,13.501526,11.660693,12.418179,14.213801,12.282892,-0.41846776,-0.060622334,-3.1504092,-0.23487866,-0.12755346,-0.84673274,0.011894345,-0.4754206,-0.13419247,-0.70618355,-0.12384045,-0.23623455,-0.15563393,-0.32998788,0.07776326,-0.27970493,-1.0630565,-1.6160128,-0.5609871,-0.1601212,-0.1154412,0.036640942,-0.025939465,-0.17428648,-0.01476264,102.193852901459,26.8516499996185,156.478902101517,20.809100151062,22.7770037651062,11.3570969104767,28.1574845314026,105.179342985153,65.4197175502777,10.2609961032867,82.8979122638702,9.90375971794128,44.1244356632233,111.375011920929,115.646026611328,179.962504863739,35.9717047214508,15.942214012146,6.58553695678711,1.09808397293091,46.883908033371,64.3046379089356,81.1433572769165,40.3744850158691,44.6853296756744
neural_network,base+atom_numbers+support,no,39,10,10,204,0.38124597,2.2460053,8.865138,27.8544180393219,13.8483047485352,7.57275597254435,7.55531493822734,17.4690027236938,8.19176812171936,12.7809013366699,21.5275077819824,18.2566942214966,16.409826596578,16.288387966156,14.4359045028687,8.3079400062561,14.2557527224223,12.8443719546,9.27649178504944,14.0767913818359,8.49222450256348,8.17868523597717,15.0871237754822,12.8793017069499,8.14212163289388,17.8598011016846,10.2108824729919,15.6897246360779,13.7200694084167,3.1174266,2.2161865,2.2460053,3.6985147,2.0692794,2.0608408,3.3833199,3.3442206,3.4846687,3.2814906,3.380506,2.0844243,3.3500059,3.2392273,2.1134307,3.2363422,2.2357762,2.3144014,3.2459087,3.259578,2.1698406,3.2840052,2.313712,3.2879105,2.0962293,16.82376,8.5166855,8.865138,23.997921,7.6763887,7.6757236,17.137917,16.787409,21.12051,19.07785,20.219501,7.858393,19.694366,18.57257,8.046657,18.498854,8.58293,9.375587,18.362381,18.72623,8.942544,18.79384,9.213183,19.101034,7.513896,-0.17423642,0.4055667,0.38124597,-0.67496645,0.46421635,0.46426278,-0.19616342,-0.1716994,-0.47413385,-0.3315637,-0.41124678,0.4515131,-0.37459433,-0.29629707,0.43837303,-0.29115188,0.4009431,0.3456185,-0.28162658,-0.30702186,0.37584335,-0.31174088,0.35695374,-0.33318186,0.47555774,17.5682096481323,24.6164772510529,27.8544180393219,44.0852024555206,119.831387281418,205.750934362412,1.51237225532532,1.5354437828064,51.7964928150177,11.4693303108215,84.0257246494293,98.0372037887573,16.170919418335,13.8526175022125,35.0901765823364,27.3704755306244,132.575353622437,136.832125425339,15.6486465930939,99.367702960968,135.55545258522,12.4224810600281,135.782242774963,17.6400043964386,142.776569843292
neural_network,base+atom_numbers+support,no,39,10,10,212,0.120054364,2.4873345,12.032168,30.2941815853119,6.40089526176453,6.52215949694316,5.79972330729167,7.1204824924469,6.47756400108337,7.00743803977966,6.37060213088989,5.7795627117157,6.53058783213298,6.68147926330566,6.05898960431417,6.79455275535584,6.48071341514587,6.36688184738159,6.70807108879089,6.51131828625997,6.86300770441691,6.93135293324788,7.0676212310791,6.19031063715617,8.01758079528809,5.80685091018677,7.73410606384277,6.08877992630005,5.98679264386495,2.117145,1.7992039,2.6615987,2.5087936,2.714801,2.0257397,2.6956773,2.4873345,2.4950366,2.1516387,1.9809412,2.2477877,1.8324832,1.9328777,1.9597905,1.943481,2.0874498,2.3726888,2.2635555,2.0860333,2.5021913,2.7067752,3.2338216,1.9084463,2.4972992,7.701089,6.211507,14.569325,11.002763,15.200278,7.0646667,14.060155,12.032168,11.155163,7.7453117,6.771363,9.117732,6.1881356,7.048251,6.7931037,6.7856727,7.678603,9.498892,8.782927,7.4900675,10.549599,15.645553,21.887373,6.536035,11.690295,0.43679816,0.5457354,-0.065494895,0.19533771,-0.11163819,0.48334152,-0.028257847,0.120054364,0.18419224,0.43356407,0.5047916,0.33319515,0.5474446,0.484542,0.5032016,0.5037451,0.4384426,0.3053199,0.35768044,0.45223075,0.22847879,-0.14420235,-0.6006839,0.52200174,0.14505655,35.7602233886719,30.0550425052643,52.5086336135864,23.0490050315857,26.2128899097443,120.384192705154,154.440423488617,30.2941815853119,64.0869615077972,112.134425878525,169.611938476563,48.6271243095398,53.6550226211548,128.213485240936,29.5647270679474,72.3165695667267,45.3732514381409,128.83337187767,158.755880832672,85.5079300403595,52.2811877727509,39.406745672226,53.5902531147003,29.803302526474,49.1965117454529
neural_network,base+atom_numbers+support,no,39,10,10,211,0.43768752,1.7407731,5.4895277,39.9364984035492,7.69893417358398,7.39437866210938,8.21297121047974,8.9398533821106,7.32708978652954,7.03408066431681,6.95663034915924,7.11750550270081,6.31809027989705,7.64516162872314,9.61153964996338,6.90547642707825,6.4656974474589,7.89638511339823,8.80589351654053,6.80180342992147,7.66024389266968,9.04814529418945,9.33206477165222,7.69002103805542,8.78187004725138,7.78756109873454,9.98559589385986,7.16352534294128,8.49799315134684,1.7810577,1.8910059,2.0718927,1.8018878,1.812081,1.9669074,1.8560799,1.8722143,1.7407731,1.9881415,1.8240765,1.8831791,1.8119948,1.8778327,1.790377,1.76035,2.013629,1.9557459,1.7876675,1.9013177,1.8141629,2.0686316,2.079497,1.7714837,1.8065265,5.8917947,6.4784513,7.3078723,6.173177,5.965955,6.182762,5.9127855,5.9518895,5.4895277,6.786957,5.626616,5.791644,5.9544363,5.7590876,5.685223,5.4366918,7.179844,6.643929,5.4743443,6.3724647,5.97382,7.785197,7.568577,5.576906,6.0105867,0.39648187,0.33638847,0.25142783,0.36765885,0.38888538,0.366677,0.39433163,0.39032614,0.43768752,0.3047871,0.42364508,0.40674067,0.39006525,0.41007555,0.4176417,0.44309974,0.26454222,0.31943798,0.43924278,0.34724504,0.3880797,0.20253372,0.22472292,0.42873704,0.38431352,157.101368188858,16.2962062358856,16.4911048412323,75.1858203411102,39.2708015441895,112.100869655609,145.724129915237,143.430503606796,39.9364984035492,139.985579013824,32.5485944747925,19.6754903793335,157.288091421127,45.4700651168823,23.5403485298157,48.1302855014801,143.177855730057,7.16127705574036,21.6714558601379,128.08588218689,33.2173042297363,31.3428156375885,119.989757061005,136.528549671173,32.9329168796539
neural_network,base+atom_numbers+support,no,39,10,10,208,0.572706,1.8079249,5.565277,72.4366903305054,5.99614896774292,7.64433606465658,4.71955998738607,4.39246757825216,6.54038844108582,5.65317726135254,5.14626111984253,5.33441510200501,5.04572575092316,5.11426520347595,5.52451833089193,6.56907978057861,5.66640416781108,6.58738072713216,4.72199625968933,5.21032748222351,5.70946995417277,5.18620324134827,5.41230829556783,5.45629239082336,6.23556344509125,5.37287926673889,6.32550430297852,5.54150501887004,5.99715725580851,1.6717923,2.0170257,1.67284,1.8079249,1.8865451,1.7706854,1.7120767,1.6580967,1.754704,1.5964184,1.7878422,1.5794508,1.749658,1.8356924,1.8038902,1.6626383,1.745315,1.6019459,1.6088666,1.7598724,1.7097034,1.8149089,1.8532552,1.6661007,1.8673972,5.027032,6.8159375,5.280545,5.565277,6.043316,5.523609,5.4508896,5.1324754,5.271922,4.6254616,5.960371,4.2044897,5.588806,6.170943,5.5921264,4.70678,5.481053,4.5967145,4.624861,5.618851,5.3838058,6.5020876,6.5089536,5.0266995,5.8445163,0.61403173,0.47668213,0.5945673,0.572706,0.5360029,0.5759052,0.5814885,0.60593593,0.5952294,0.6448637,0.5423713,0.67718536,0.5708995,0.5262039,0.5706446,0.63862026,0.5791726,0.6470709,0.64490986,0.56859267,0.58663917,0.5007791,0.5002519,0.61405724,0.55126643,135.37845826149,29.6762466430664,43.1008477210999,72.4366903305054,44.1520020961762,75.5488119125366,120.462035179138,16.5315909385681,7.19115924835205,25.9742293357849,35.0960383415222,8.51883101463318,84.9954569339752,133.759390592575,57.7342913150787,144.583170890808,121.574560403824,135.593277931213,222.840859651566,38.3811376094818,142.944213151932,22.6923456192017,15.7449221611023,125.39585518837,30.5531630516052
