model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,condition,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9,training_time
rf,base+atom_numbers+support,no,49,0,10,1,0.47698714264753606,1.878373996702013,6.62765023632183,,Cu-Na2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/SiC,Mn-Na2WO4/ZSM-5,Mn-SrWO4/SiO2,Mn-WOx/SiO2,Nb2O5,Nd-Na2WO4/SiO2,ZSM-5,Zr-Na2WO4/SiO2,2.896908118047347,2.051325929164159,2.437614605100332,2.4067382620579227,1.7951851117793138,1.2550127893385843,0.9874156166212548,1.8710341397998402,1.5746841715118716,1.5078212235995079,93.11644124984741
rf,base+atom_numbers+support,no,49,0,10,2,0.11054118632353005,2.448756022579549,13.729836913703707,,BEA,MgO,Mn-Na/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/Nb2O5,Mn-Na2WO4/SiCnf,Mn-Na2WO4/SiO2,Mn-WOx/SiO2,Na2WO4/SiO2,Ti-Na2WO4/SiO2,0.8695850155929875,0.7882828871645363,1.457597187061272,2.068569448725355,1.8900386026376008,1.9420233505495261,2.5847327453845983,2.6259779467021414,5.0431212749284855,5.2176317670489825,74.03700852394104
rf,base+atom_numbers+support,no,49,0,10,3,0.22478496340968013,2.5994157241743263,12.836389337627397,,Blank,Eu-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-Na2WO4/SiC,Mn-Na2WO4/TiO2,Mn-WOx/SiO2,Na/SiO2,Tb-Na2WO4/SiO2,Ti-Na2WO4/SiO2,Y-Na2WO4/SiO2,1.3236384374720724,1.6809070217409596,1.536282610525903,2.64000025653276,2.8759037478824023,2.6869973506242837,4.974346237043216,1.4082047299352591,4.843244078079352,2.420454524051872,62.115793228149414
rf,base+atom_numbers+support,no,49,0,10,4,0.45781637931719454,2.0339269634097037,7.4419978853758275,,Fe-Na2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/MgO,Mn-Na2WO4/SiC,Mn-Na2WO4/SiCnf,Mn-Na2WO4/ZrO2,SiCnf,Y-Na2WO4/SiO2,1.8499969333967965,2.537162292128266,2.108423973253429,1.7082015577771132,0.9297930008646029,2.4219890521403786,2.002014141637601,1.836206782545685,2.170688885389327,2.774793014963836,128.70577764511108
rf,base+atom_numbers+support,no,49,0,10,5,0.37040593790529863,1.8736210511928102,6.0825104094078055,,BEA,BN,Mn-Na2WO4/MgO,Mn-SrWO4/SiO2,Mn-ZnMoO4/SiO2,Na2WO4/SiO2,Pd-Na2WO4/SiO2,SiO2,WOx/SiO2,ZrO2,0.7217714914349637,1.833169420475304,1.2258362125195574,1.0227510632513261,1.8370261663973337,3.4165053358966024,2.3260939623818038,2.4154404302394794,2.630211056304426,1.3074053730273067,87.13556933403015
rf,base+atom_numbers+support,no,49,0,10,6,0.47970745679825677,1.617541453237944,4.466498000975502,,CeO2,MgO,Mn-Na2WO4/Al2O3,Mn-Na2WO4/BN,Mn-Na2WO4/SiCnf,Mn-Na2WO4/ZrO2,Mn-SrWO4/SiO2,Nd-Na2WO4/SiO2,ZSM-5,Zr-Na2WO4/SiO2,1.533046224824112,0.9353541023271215,1.7662046913421547,1.873403674289477,1.9232596915267706,1.828908302837516,1.691456254163278,1.8963353042183555,1.3846683293844724,1.3427779574661818,116.63917827606201
rf,base+atom_numbers+support,no,49,0,10,7,0.3418761914746822,2.2396080103367906,10.389160897736144,,BN,CeO2,Eu-Na2WO4/SiO2,Fe-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiC,Mn-Na2WO4/SiO2,Mn-Na2WO4/ZrO2,Ti-Na2WO4/SiO2,1.7964210020248623,1.3473414120741614,1.682382868127169,1.966413348713105,1.4959839977918845,1.5258085736604938,2.724103764441811,2.602019947429579,2.4627646827494005,4.792840506355443,144.07999324798584
rf,base+atom_numbers+support,no,49,0,10,8,0.3249311674769074,2.2697260661819714,9.596735560419845,,Mn-CaWO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,Mo-Na2WO4/SiO2,SiC,Ti-Na2WO4/SiO2,V-Na2WO4/SiO2,3.967003152973441,1.4354794251721026,1.6599528423302492,1.4695657122970442,1.5640328045372978,2.626880836969495,1.413989849964584,2.1573738889998846,2.7962921180732727,3.6066900305023415,100.39514589309692
rf,base+atom_numbers+support,no,49,0,10,9,0.45295409951789223,1.921589515528661,7.734331168406639,,Al2O3,Hf-Na2WO4/SiO2,Mn-BaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-Na2WO4/BN,Mn-Na2WO4/CeO2,Mn-Na2WO4/TiO2,Mo-Na2WO4/SiO2,Ti-Na2WO4/SiO2,Zn-Na2WO4/SiO2,1.0794166368596338,2.0212947882951178,1.160300292698803,1.596624039967199,1.577851094760078,2.217635237993327,2.8678880764485717,1.405220132912614,3.8365314692482717,1.453133386102995,128.3305962085724
rf,base+atom_numbers+support,no,49,0,10,10,0.44809328305171037,1.8563590888065062,5.713481810561794,,BN,Mn-BaWO4/SiO2,Mn-MgWO4/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/BN,Nd-Na2WO4/SiO2,Ni-Na2WO4/SiO2,Y-Na2WO4/SiO2,Zn-Na2WO4/SiO2,Zr-Na2WO4/SiO2,1.8968440280681802,1.1537956031816266,1.5890317057921057,1.8853890304005079,1.9236913428083837,1.779165649304834,2.629440807909224,2.861047007248889,1.4725358350012707,1.3726498783500414,106.15776562690735
