model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,condition,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9,training_time
xgboost,base+atom_numbers+support,no,49,0,10,1,0.5034849344541608,1.9091404045665707,6.291868632370109,,Cu-Na2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/SiC,Mn-Na2WO4/ZSM-5,Mn-SrWO4/SiO2,Mn-WOx/SiO2,Nb2O5,Nd-Na2WO4/SiO2,ZSM-5,Zr-Na2WO4/SiO2,2.9356902113446486,1.8941956580568244,2.0131235244318293,2.327578405097679,2.066864199925352,1.8407950577470993,1.4708407545751996,1.5907091647828067,1.56483526552165,1.3867718041826178,29.88651752471924
xgboost,base+atom_numbers+support,no,49,0,10,2,0.13064266640950184,2.505253433341713,13.419547062098681,,BEA,MgO,Mn-Na/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/Nb2O5,Mn-Na2WO4/SiCnf,Mn-Na2WO4/SiO2,Mn-WOx/SiO2,Na2WO4/SiO2,Ti-Na2WO4/SiO2,0.9793426116417956,0.9924624022834555,1.373887888656722,1.9747787862795372,2.0798895193250093,2.072688495417436,2.382404877631753,2.1365675906340282,5.699845307474197,5.36066685407319,43.066548585891724
xgboost,base+atom_numbers+support,no,49,0,10,3,0.26161567200594393,2.5045552509178353,12.226528469600671,,Blank,Eu-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-Na2WO4/SiC,Mn-Na2WO4/TiO2,Mn-WOx/SiO2,Na/SiO2,Tb-Na2WO4/SiO2,Ti-Na2WO4/SiO2,Y-Na2WO4/SiO2,1.4002557215315323,1.6179356398764584,1.6371370574390445,1.8095691634769793,2.791937210979285,2.0086255303190814,5.699011051283943,1.3209677506955686,5.043938210101505,2.24858447353597,29.672188758850098
xgboost,base+atom_numbers+support,no,49,0,10,4,0.4478520554367217,2.0879832697069203,7.578767928621124,,Fe-Na2WO4/SiO2,Mn-MoOx/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/MgO,Mn-Na2WO4/SiC,Mn-Na2WO4/SiCnf,Mn-Na2WO4/ZrO2,SiCnf,Y-Na2WO4/SiO2,1.8797465651565128,2.765887598108362,2.047859886708083,1.7302124876446194,0.8074718475783313,2.474393788620278,2.0788171287819193,1.7310026031070285,2.89625952343146,2.4681812679326094,39.960119009017944
xgboost,base+atom_numbers+support,no,49,0,10,5,0.39292525276782675,1.8991460689755015,5.864951230707266,,BEA,BN,Mn-Na2WO4/MgO,Mn-SrWO4/SiO2,Mn-ZnMoO4/SiO2,Na2WO4/SiO2,Pd-Na2WO4/SiO2,SiO2,WOx/SiO2,ZrO2,0.921843470354323,1.7547405507249965,1.1765853426191542,1.3846393209609584,1.7476267566649173,2.3323492812999973,2.3072438979342027,2.549534112464775,3.5518868394030467,1.265011117328648,48.52037048339844
xgboost,base+atom_numbers+support,no,49,0,10,6,0.47583575760534635,1.6783739598032639,4.499734949940976,,CeO2,MgO,Mn-Na2WO4/Al2O3,Mn-Na2WO4/BN,Mn-Na2WO4/SiCnf,Mn-Na2WO4/ZrO2,Mn-SrWO4/SiO2,Nd-Na2WO4/SiO2,ZSM-5,Zr-Na2WO4/SiO2,1.2361997903165995,1.0997063684905017,1.6391080166013152,2.1139415250221885,1.9792537789101954,2.319611625207795,1.885205491029278,1.2169265680456602,1.669080640309387,1.6247057940997183,35.364643573760986
xgboost,base+atom_numbers+support,no,49,0,10,7,0.3760410819129939,2.2534942981501422,9.849832979160329,,BN,CeO2,Eu-Na2WO4/SiO2,Fe-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiC,Mn-Na2WO4/SiO2,Mn-Na2WO4/ZrO2,Ti-Na2WO4/SiO2,2.00521241499318,1.52869901365704,1.9301677766552676,2.0692227059161223,1.7574292629736443,1.6747431989290096,2.73387495274897,2.8754551625472526,1.6798835629004019,4.280254930180532,16.03245258331299
xgboost,base+atom_numbers+support,no,49,0,10,8,0.31517721826649203,2.3744887245120827,9.735397081634305,,Mn-CaWO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,Mo-Na2WO4/SiO2,SiC,Ti-Na2WO4/SiO2,V-Na2WO4/SiO2,3.626784086933842,2.021760648753908,1.6361721745906053,1.3565959504357092,2.0790792206923165,3.0808332562446594,1.4226549370200545,2.0746005705109347,3.214332086642583,3.232074313296212,27.268375873565674
xgboost,base+atom_numbers+support,no,49,0,10,9,0.4368205887388451,1.9514135269798616,7.962432530950877,,Al2O3,Hf-Na2WO4/SiO2,Mn-BaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-Na2WO4/BN,Mn-Na2WO4/CeO2,Mn-Na2WO4/TiO2,Mo-Na2WO4/SiO2,Ti-Na2WO4/SiO2,Zn-Na2WO4/SiO2,1.2164246961584797,2.114141673600232,1.1536476591229439,1.3948612568334298,1.1751160219201335,2.344204091562165,3.200596455468072,1.435927524390044,4.074961421732549,1.4042544690105652,14.01046371459961
xgboost,base+atom_numbers+support,no,49,0,10,10,0.5551254523722732,1.636493935391447,4.605456969082466,,BN,Mn-BaWO4/SiO2,Mn-MgWO4/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/BN,Nd-Na2WO4/SiO2,Ni-Na2WO4/SiO2,Y-Na2WO4/SiO2,Zn-Na2WO4/SiO2,Zr-Na2WO4/SiO2,1.7441690183029923,1.0158591167270035,1.3448396123890523,1.745153007198263,2.111462408370442,1.0699266024651353,1.9894206484379593,2.2361502990062583,1.3468143924123703,1.7611442486049942,22.735868453979492
