seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight
0,198,42759,2160,0.0870290504421169,0.839174302143841,0.0260122125819084,0.0534700606280402,0.297689331693582,0.116541628047746,0.139423598800664,350,0.05,6,0.9,0.8,0.5,0.5,0,1
57,198,42759,2160,0.0876729706718083,0.855671107813276,0.0254615844870434,0.0515532080029279,0.252079070105047,0.0816026883881405,0.101237543300634,350,0.05,6,0.7,0.8,0,0.5,0,2
88,198,42759,2160,0.0922961490594202,0.852468121809926,0.0258033114040849,0.0523480125092855,0.105417471211784,0.0669341443967851,0.100381233539544,350,0.05,6,0.9,0.8,0,0.5,0,2
71,198,42759,2160,0.0873473971928314,0.776415350316891,0.0370748808646808,0.0644114133808387,0.405872935688992,0.0578630188197653,0.0774804001325875,350,0.02,6,0.9,0.8,0.5,2,0,2
32,198,42759,2160,0.085777656505373,0.790480405316544,0.0348984773491804,0.0615433256998964,0.343280632224161,0.0968588457256962,0.120102375160758,350,0.02,6,0.9,0.8,0,0.5,0,2
15,198,42759,2160,0.0890379387418905,0.831508283099503,0.0281665102678325,0.0561561931097324,-0.30173008432586,0.0626541465529889,0.078719089573694,700,0.02,6,0.9,0.8,0.5,0.5,0,3
75,198,42759,2160,0.0881773772912505,0.883095686762323,0.0213929362087978,0.0462722239979444,0.37548968663908,0.0807306255869107,0.103767961116532,700,0.05,6,0.9,0.8,0,1,0,3
76,198,42759,2160,0.0894840018161409,0.776964672187712,0.0362116600909875,0.0637350731108227,0.409516436177081,0.0868457875135593,0.106402101481657,350,0.02,6,0.9,0.8,0.5,2,0,1
51,198,42759,2160,0.0870869992260639,0.806638544383931,0.0319178022682115,0.0593540363373999,0.0348398181717645,0.0940712284414638,0.134555696442551,100,0.1,6,0.7,0.8,0.5,2,0,1
43,198,42759,2160,0.0873160064517405,0.783552650474243,0.0356014320872178,0.0626139345655273,0.362634416378632,0.0890357598563461,0.115059401476507,350,0.02,6,0.9,0.8,0,1,0,1
87,198,42759,2160,0.0919330309306624,0.830610833049433,0.0286827014503075,0.0564824183459794,0.462563654288229,0.0380818625445785,0.0530770285603351,700,0.02,6,0.9,0.8,0.5,1,0,1
62,198,42760,2159,0.0847336537287653,0.807447348110713,0.0318915208580797,0.0591724042794866,0.241790263842803,0.0917715873130573,0.120153436544294,100,0.1,6,0.9,0.8,0.5,0.5,0,2
78,198,42759,2160,0.0871056113596965,0.840166177156055,0.0277307058154288,0.0542251847389946,0.399387273319039,0.0701807220800172,0.094490462613229,700,0.02,6,0.7,0.8,0,1,0,1
77,198,42759,2160,0.0875872095834703,0.885694906500771,0.0215170001697014,0.0461172003979742,0.147938206021997,0.0633628789244025,0.0915188672144055,700,0.05,6,0.9,0.8,0,1,0,1
50,198,42759,2160,0.0860341987584413,0.8339424574093,0.0274609405880402,0.05507183969306,0.297385878314553,0.0855762595845844,0.11274489797356,700,0.02,6,0.9,0.8,0.5,1,0,1
82,198,42759,2160,0.084934440437502,0.788838257754327,0.0353116709055339,0.0618065978786711,-0.0142596789665199,0.111500940636899,0.143442900107551,350,0.02,6,0.7,0.8,0,2,0,1
65,198,42759,2160,0.0888941029959639,0.880090358521102,0.020778585577928,0.0465923362482245,0.344707935582471,0.0906948368117967,0.116587984813551,350,0.02,10,0.7,0.8,0.5,1,0,1
54,198,42759,2160,0.0869451662333939,0.85074805669868,0.0254030295211984,0.0511480359559156,0.35801500339054,0.108420661581505,0.133004916050365,350,0.05,6,0.9,0.8,0,2,0,1
10,198,42759,2160,0.0869037134360181,0.835210478303854,0.0266867585666877,0.054055069332287,0.411714416238748,0.102975363888345,0.120930324431529,350,0.05,6,0.7,0.8,0.5,2,0,3
79,198,42764,2155,0.0860378375327848,0.843479028564956,0.0262257914958229,0.0532466277870452,0.432179876094049,0.0828917085897134,0.109663228225883,350,0.05,6,0.9,0.8,0.5,1,0,1
80,198,42759,2160,0.0848409419629981,0.840772013797778,0.0261741934921109,0.053399751609152,0.187158635057915,0.102762956521764,0.128787221907281,350,0.05,6,0.7,0.8,0.5,2,0,3
52,198,42759,2160,0.0844402374621861,0.824981163881983,0.0286755782039337,0.0564820982250744,0.261363591210929,0.0932348909221692,0.118059255561174,700,0.02,6,0.7,0.8,0.5,0.5,0,3
25,198,42759,2160,0.0872815320405605,0.778226919812964,0.0364883466632421,0.0638785206558737,-0.0602167154306847,0.0887902411486485,0.111082740869036,350,0.02,6,0.9,0.8,0.5,0.5,0,3
30,198,42759,2160,0.0888198188332556,0.830272474055181,0.0285470097063344,0.0561911974306701,0.255366477108842,0.073033885838779,0.0873281139340158,700,0.02,6,0.7,0.8,0.5,2,0,3
18,198,42759,2160,0.0873805287611569,0.82550854169957,0.0288320499763499,0.0566036947380634,0.650433426186999,0.0557031175624192,0.0755961781280586,700,0.02,6,0.7,0.8,0.5,0.5,0,1
34,198,42759,2160,0.0865428408742688,0.833604597056421,0.0280192938601213,0.0551003339456461,-0.0195299454124676,0.114109522251649,0.136158611207395,700,0.02,6,0.9,0.8,0,1,0,3
8,198,42759,2160,0.0871025844455233,0.859034307046985,0.0240245965389544,0.0507274224208779,0.183807846415695,0.0978803679783546,0.122706965876587,100,0.05,10,0.9,0.8,0.5,2,0,2
73,198,42759,2160,0.0873856224773215,0.840117397334223,0.0273786617738183,0.0538610795520238,0.388101492240884,0.0807896569072173,0.107800186248855,700,0.02,6,0.7,0.8,0,0.5,0,2
9,198,42759,2160,0.0873071688883503,0.83848528707904,0.0268447004979844,0.0544547004804673,0.391799825565163,0.071772421451938,0.0997895932986767,350,0.05,6,0.9,0.8,0.5,2,0,3
74,198,42764,2155,0.0877645756296455,0.870971527711056,0.022095646077276,0.0490896968505217,-0.196439476689106,0.066741048640529,0.0898064925929288,700,0.05,6,0.9,0.8,0.5,1,0,3
63,198,42762,2157,0.0850366954501475,0.790044322853792,0.0345885494971276,0.0611164415058143,0.254821129602423,0.112193005703831,0.142720095866261,350,0.02,6,0.9,0.8,0,0.5,0,3
24,198,42759,2160,0.0876938976823076,0.77845471709254,0.0361627397810239,0.0636216270428794,0.0720137851453038,0.0957130793038783,0.129882221759117,350,0.02,6,0.7,0.8,0.5,1,0,3
41,198,42759,2160,0.0857315267237139,0.777110453493625,0.0362594863840186,0.0638192619104332,-0.204232945632592,0.110507510545661,0.147062611794842,350,0.02,6,0.7,0.8,0.5,2,0,1
21,198,42759,2160,0.0868696164565518,0.864289158812422,0.0229319377473265,0.0498916452424543,0.101711263443708,0.0999834794780072,0.120612123115484,700,0.05,6,0.7,0.8,0.5,0.5,0,1
49,198,42759,2160,0.0856957010919802,0.882861641121293,0.0216913178042606,0.0459034838577087,0.133986904252421,0.113502206215595,0.143449008081713,350,0.1,6,0.7,0.8,0.5,0.5,0,1
69,198,42759,2160,0.0879225185398058,0.82456502159489,0.0312395372275307,0.0568216368471637,-0.721359380434485,0.10529262969723,0.135422150239804,100,0.1,6,0.7,0.8,0,2,0,2
58,198,42759,2160,0.087909831358312,0.854129438686246,0.0245568711271864,0.0520171122779045,0.217841580189693,0.0744224329671698,0.0940308719069427,700,0.05,6,0.7,0.6,0.5,2,0,1
38,198,42759,2160,0.0856690651892974,0.861481340781363,0.0232754043587897,0.0498327889679972,0.24212304909913,0.104016374043853,0.126500185819421,700,0.05,6,0.7,0.8,0.5,0.5,0,3
12,198,42764,2155,0.0875141860413523,0.781389868746797,0.03572027428797,0.0628051862718149,0.261150050239257,0.0971141731685138,0.124948680807392,350,0.02,6,0.9,0.8,0.5,2,0,1
28,198,42759,2160,0.0884909754262881,0.84866015698863,0.02552981103434,0.0528263385568724,0.247850502533402,0.0858072511143171,0.105565538756593,350,0.05,6,0.9,0.8,0.5,0.5,0,2
81,198,42759,2160,0.0890375898233144,0.834071351151579,0.027271224632653,0.0547460827968418,0.317809032831008,0.0903014080455491,0.119173162701932,350,0.05,6,0.7,0.8,0.5,2,0,2
11,198,42759,2160,0.0890655090350369,0.843990793591069,0.0264847543306591,0.0535231270625693,0.344570337376844,0.075142568068272,0.103421994645979,350,0.05,6,0.7,0.8,0.5,0.5,0,2
66,198,42759,2160,0.0903625034359669,0.832976190502971,0.0285392616916749,0.0556366357419098,0.322160676574795,0.069624726814974,0.0864814629150346,700,0.02,6,0.9,0.8,0,2,0,2
86,198,42759,2160,0.0881875607117005,0.779628146149313,0.0364486274306675,0.0639961556649656,0.18374823644236,0.068586613559426,0.0905024697835966,350,0.02,6,0.7,0.8,0.5,0.5,0,1
35,198,42759,2160,0.0878346910148739,0.839381244467822,0.0277778675993997,0.0543026741588117,0.173478198069403,0.0743632251100368,0.108977005045868,700,0.02,6,0.7,0.8,0,0.5,0,1
67,198,42759,2160,0.0883735761554681,0.903815330461855,0.0163759525590693,0.0410296175950511,0.306490748054399,0.111048807883257,0.141728649717129,700,0.02,10,0.9,0.8,0.5,0.5,0,2
39,198,42759,2160,0.0881170485064589,0.826602559807088,0.0286476492569727,0.0565034340643298,0.387775562498877,0.0723377853797062,0.0969564120173772,700,0.02,6,0.7,0.8,0.5,2,0,1
47,198,42759,2160,0.0869020188607691,0.865913910679826,0.0222661400390596,0.0484074014821713,0.176784268099971,0.117804886973819,0.150849890172697,700,0.05,6,0.7,0.8,0.5,1,0,2
33,198,42759,2160,0.0865818641359323,0.783054440349235,0.0360584509135714,0.0635414569961995,-0.75693985092253,0.0946677965495052,0.140960676345083,350,0.02,6,0.7,0.8,0.5,2,0,2
31,198,42759,2160,0.0874093417812931,0.871042358971043,0.0221156022983472,0.0477166135189406,0.162172127427185,0.12621161519111,0.158028695097165,350,0.1,6,0.7,0.8,0.5,0.5,0,3
94,198,42759,2160,0.0888852835720548,0.745311008933487,0.0414966267227251,0.0682535850291385,0.412668997835507,0.0798922302371618,0.101866988354519,100,0.05,6,0.9,0.8,0.5,0.5,0,2
14,198,42759,2160,0.0902613810460165,0.777332991779018,0.036988138783737,0.064586083731569,0.516553582718652,0.0461638496094737,0.0563771342819379,350,0.02,6,0.7,0.8,0.5,1,0,3
29,198,42762,2157,0.0866298190914637,0.771513756286087,0.0382744120545157,0.0633215204399045,0.357375457709115,0.112909285578817,0.142949825718668,100,0.05,6,0.7,0.8,0.5,0.5,0,3
56,198,42759,2160,0.0885162814807467,0.780765396296839,0.0362947566866891,0.0637311073593501,0.305149781807793,0.067050445427189,0.0947380120091912,350,0.02,6,0.7,0.8,0,2,0,1
5,198,42759,2160,0.0887147254566368,0.841692031027614,0.0263989964140107,0.0540599146315745,0.23362466063604,0.0880141365134134,0.104358798904099,350,0.05,6,0.9,0.8,0.5,0.5,0,3
64,198,42759,2160,0.0868585830679904,0.853761802403937,0.0258735438832425,0.0523541564271933,0.0911986198790942,0.0665706818760888,0.0837993966755893,350,0.05,6,0.7,0.8,0,1,0,3
7,198,42759,2160,0.0888722021472351,0.779391576167102,0.0365799932986212,0.0640589821417755,0.351653290722432,0.0725693595037307,0.0859327470325547,350,0.02,6,0.7,0.8,0.5,1,0,3
20,198,42759,2160,0.0875031206226367,0.867468217913072,0.0231263581673474,0.0492552767203683,0.300709867381055,0.079838395510175,0.104362285813535,700,0.05,6,0.7,0.8,0.5,0.5,0,2
3,198,42759,2160,0.0890887719971543,0.885950321883084,0.0206564359641956,0.0460635963383835,0.0517137120585043,0.0739382620938959,0.102116470507508,100,0.05,10,0.9,0.8,0,0.5,0,3
26,198,42759,2160,0.0899524097438681,0.841966317935862,0.0263779950829098,0.0541590618594557,0.40612559554939,0.0685800420646283,0.0831569219574283,350,0.05,6,0.9,0.8,0.5,2,0,3
72,198,42759,2160,0.0889892955088614,0.86121276667666,0.0253307480509834,0.0504066943376476,0.150683663406028,0.0923412625143102,0.121227994165324,350,0.05,6,0.7,0.8,0,1,0,2
98,198,42759,2160,0.0865948602921798,0.827837973805566,0.0287043348871393,0.0564928681596563,0.0251813102668024,0.0872744748266467,0.111508765038285,700,0.02,6,0.9,0.8,0.5,0.5,0,2
85,198,42759,2160,0.0892266736094169,0.790097670811707,0.0355751548063328,0.0619475990027969,0.38855151840801,0.0725524626791628,0.104732921349222,350,0.02,6,0.9,0.8,0.5,2,0,2
17,198,42760,2159,0.0865616145754746,0.852020757915771,0.0257563542858544,0.0519789539067264,0.245206604208552,0.0863194562583696,0.116672792402001,350,0.05,6,0.7,0.8,0,1,0,3
55,198,42759,2160,0.0898252684625183,0.842370824472358,0.0267472005528761,0.0537533650612384,0.307395958328811,0.0591379508875437,0.0922798957782998,350,0.05,6,0.7,0.8,0.5,2,0,2
23,198,42759,2160,0.0873957810312312,0.834269728935236,0.0275016486998825,0.0546537930684843,0.342959671618704,0.0965145203037961,0.122623705902997,700,0.02,6,0.7,0.8,0.5,0.5,0,3
