seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight
0,316,68228,2160,0.0631768380211755,0.8701007344124629,0.0194822457571001,0.0438511318909652,0.4376595366282633,0.0825426625755067,0.1174622391402394,350,0.05,6,0.9,0.8,0.5,0.5,0.0,1
88,316,68228,2160,0.0655353717781497,0.874834080564812,0.0197639467764064,0.0439097779026616,0.3750305030137352,0.0483076968462425,0.0679163743099141,350,0.05,6,0.7,0.8,0.0,2.0,0.0,1
32,316,68228,2160,0.0642685395597986,0.817153949997289,0.0267995305903462,0.05234133720833,0.172863567533053,0.0965865928466544,0.1324976951080128,350,0.02,6,0.9,0.8,0.0,0.5,0.0,2
57,316,68228,2160,0.0645967552396409,0.945232045037158,0.0092567918139075,0.02874734273493,0.1522419269316389,0.080018276575413,0.1238002592698446,700,0.05,10,0.9,0.8,0.5,1.0,0.0,3
87,316,68236,2152,0.0646510133128066,0.853487831946059,0.0218564600572098,0.0471980209544665,0.4580052356076373,0.0584936799470527,0.0883474355323101,700,0.02,6,0.9,0.8,0.5,1.0,0.0,1
30,316,68228,2160,0.0654251496799854,0.8572461065701793,0.0214849962203717,0.0466347360564948,0.5128215068271822,0.0624961743015174,0.0794720536844208,700,0.02,6,0.7,0.8,0.5,2.0,0.0,3
31,316,68228,2160,0.0692525957380194,0.923328823475612,0.0125298814340058,0.034388894960362,0.1857450169604706,0.0558120185077224,0.0765788347547882,350,0.02,10,0.7,0.8,0.0,0.5,0.0,2
33,316,68228,2160,0.0658047988645954,0.8672348094157609,0.0198243890206785,0.0449673712975021,0.413397103009203,0.0539764052544203,0.0838622778696093,350,0.05,6,0.9,0.8,0.5,1.0,0.0,1
62,316,68228,2160,0.0640062140000679,0.8517085560674302,0.0217439296869516,0.0471076669491706,0.2098903332477909,0.0852620762396378,0.1305773325179199,700,0.02,6,0.7,0.8,0.5,2.0,0.0,1
86,316,68228,2160,0.0634227171214655,0.8093985007810041,0.0275309923725138,0.0532135600793239,0.4179396806316222,0.0852519663335582,0.1192244533419663,350,0.02,6,0.7,0.8,0.5,0.5,0.0,1
94,316,68228,2160,0.0648396524336019,0.8630656288698431,0.0202358374144446,0.045224197509751,0.3589774348972382,0.0769799191129287,0.1159558117073657,350,0.05,6,0.7,0.8,0.5,1.0,0.0,2
54,316,68228,2160,0.0655282913727752,0.8782765298271564,0.0194814559545562,0.0429807539643359,0.4763573118184251,0.0586889635372112,0.0895898820009196,350,0.05,6,0.9,0.8,0.0,2.0,0.0,1
71,316,68228,2160,0.0642058872132234,0.9198637601082996,0.0121326941336665,0.03466871231717,0.6986440673231965,0.0564612603770278,0.0794919751714531,700,0.02,10,0.7,0.8,0.5,0.5,0.0,3
98,316,68228,2160,0.0635060709323073,0.8565932393479484,0.0212933035805657,0.0460929977013114,0.4130407364760857,0.0823451002085641,0.1226901683254887,700,0.02,6,0.9,0.8,0.5,0.5,0.0,2
75,316,68228,2160,0.0654435198935592,0.8671827147540989,0.020295875964354,0.0450699962886562,0.1875477328445263,0.0611388514212893,0.0941681223169777,350,0.05,6,0.7,0.8,0.5,1.0,0.0,2
85,316,68228,2160,0.0667389380588517,0.8085861477531773,0.0285218837158078,0.0539804951826838,0.3457116179016016,0.0533349073451074,0.0944955950947937,350,0.02,6,0.9,0.8,0.5,2.0,0.0,2
