seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight,ranking_top_3_accuracy,ranking_spearman_corr
8,10,2160,2160,8.03286045577791,0.114549569286067,7.305656360343651,0.099828588817678,-2.6983241821738586,26.355301841629878,0.2904571499995347,700,0.05,10,0.7,0.8,0.5,1.0,10.0,2,0.6666666666666666,0.7416198487095663
43,10,2155,2160,7.449018110694392,0.3991701681251013,4.755566728906123,0.0822171657322611,-4.744461174430407,24.991184256518327,0.2696150512168628,100,0.05,6,0.7,0.6,0.0,2.0,10.0,1,0.0,0.0
85,10,2149,2160,4.06888928272106,-2.57607062419396e-05,3.335746587382299,0.0439024148476877,-2.9723116712493187,25.678228741707624,0.2897672786178393,700,0.3,10,0.7,0.8,0.5,2.0,10.0,3,0.0,0.0
57,10,2160,2160,10.90298662159178,0.1369944181673432,8.600440184628523,0.1087815887697555,-2.697673455152217,24.39072842668604,0.2695162830308572,700,0.02,6,0.7,0.6,0.0,0.5,10.0,1,0.3333333333333333,-0.1643497771007659
86,10,2160,2160,7.953683966864591,0.9716466979193888,0.8099676535211108,0.0227191387862351,-0.2836261934544988,12.625842052322849,0.1706263452550638,350,0.02,6,0.7,0.8,0.5,0.5,0.0,1,0.6666666666666666,0.3818181818181818
3,10,2160,2160,10.089336393453456,0.3773198441429994,6.978683493049056,0.0915931752736778,-2.204955933203664,22.325942943625986,0.2437788570533657,350,0.3,10,0.7,0.6,0.5,0.5,10.0,2,0.6666666666666666,0.6092717958449424
51,10,2155,2160,6.633676393968561,0.999943863828218,0.0465274814028983,0.0008940115123122,-2.051593075109432,23.43382844725823,0.2618579388318814,350,0.3,10,0.9,0.8,0.0,2.0,0.0,2,0.0,-0.1519763859200161
88,10,2160,2160,6.159546653577794,0.998885741100624,0.1845255113928768,0.0030703119230387,-1.1051536172894163,19.213166613744537,0.2177238049436389,350,0.3,6,0.7,0.6,0.0,2.0,0.0,2,0.3333333333333333,0.5272727272727272
71,10,2160,2160,14.491246036070365,0.2319994549301823,10.825526147241948,0.132074382081693,-0.9951719087509296,17.355789336628384,0.201980257218269,350,0.3,6,0.7,0.6,0.5,0.5,10.0,3,0.6666666666666666,0.1740776559556978
69,10,2155,2160,1.2404758510907865,-3.4085013784102e-05,1.2355322289190271,0.0260758366599006,-6.683185872547813,29.66264385020291,0.3168053243675253,100,0.3,6,0.7,0.8,0.0,2.0,10.0,3,0.0,0.0
87,10,2157,2160,12.658747845334544,0.014745823426564,10.674434845172314,0.1301577928575013,-1.414866391189297,20.69484566564913,0.2333321345447778,100,0.02,10,0.7,0.8,0.5,2.0,10.0,2,0.6666666666666666,0.6396021490668313
59,10,2160,2160,8.127839074484454,0.9996470892091096,0.1180211635000348,0.0021840597837506,-3.7433654555027776,24.97497159157397,0.2848071796611677,100,0.05,10,0.9,0.8,0.0,0.5,0.0,3,0.0,-0.6121212121212121
41,10,2160,2160,12.31350640438221,0.3925385245500553,8.904297649065652,0.107970973052389,-0.7234780305011392,17.33111115137736,0.1914100174016856,700,0.3,10,0.9,0.8,0.5,0.5,10.0,3,0.6666666666666666,0.4848811378764269
82,10,2160,2160,10.85833343187968,-7.647136472943572e-07,9.488820233168424,0.1174372515493957,-1.800179923199948,19.221561828189422,0.2158511932896679,100,0.02,6,0.7,0.6,0.0,2.0,10.0,2,0.0,0.0
84,10,2160,2160,3.5757394106686107,0.8868572334594262,1.120587242278788,0.0173548563283538,-4.192902036828882,28.03707463421204,0.3083530347265236,100,0.02,6,0.7,0.6,0.5,1.0,0.0,2,0.0,-0.6848484848484848
11,10,2160,2160,10.617146492534214,0.2527767086282786,8.75070771764826,0.1030198540644624,-0.8906163751337042,18.902504461959552,0.213851475238346,700,0.1,6,0.9,0.6,0.5,2.0,10.0,3,0.3333333333333333,0.2842676218074806
31,10,2160,2160,11.175197385682,0.4187265595874064,7.956279026843883,0.0958244630503004,-2.030211835413567,18.43294724217168,0.2071380250449006,350,0.3,10,0.9,0.8,0.0,2.0,10.0,1,0.3333333333333333,-0.1041621634966447
15,10,2160,2160,5.199326111122415,-3.2437805215224103e-06,4.95427893532647,0.0702685305460093,-5.119119276864911,28.23627204683092,0.3019642199535419,100,0.3,10,0.9,0.8,0.5,0.5,10.0,2,0.0,0.0
55,10,2160,2160,1.8508401294797656,0.9202063524430336,0.4309781470446183,0.0076539292213608,-2.6881086119947843,27.16184731043828,0.3129091129855141,100,0.3,6,0.7,0.8,0.5,2.0,0.0,2,0.0,0.0303030303030303
54,10,2160,2160,9.401817733877902,0.9578000177485234,0.7051967866823917,0.0261913121180735,-1.4166286548276572,19.549673913426467,0.2306231274432489,100,0.3,10,0.7,0.6,0.0,1.0,0.0,2,0.3333333333333333,0.0303030303030303
32,10,2149,2160,9.839896631648305,0.8799407606788274,2.6301841871857143,0.0501650367688234,-1.564202609315334,20.19269399562368,0.2476600481567298,100,0.02,10,0.7,0.8,0.5,1.0,0.0,1,0.3333333333333333,-0.1219512195121951
37,10,2149,2160,4.853222756519779,-0.0001106243058914,4.006956835578574,0.060008811571832,-2.226963192204765,24.754468411074743,0.2842877442953972,350,0.3,6,0.7,0.8,0.5,0.5,10.0,3,0.0,0.0
25,10,2160,2160,11.115306710490476,0.2777738327339211,8.198064315848878,0.0985425750721493,-1.4704522669543485,22.02290903444643,0.2535829647982422,700,0.3,10,0.9,0.8,0.5,1.0,10.0,2,0.0,-0.3418817293789138
44,10,2156,2160,13.9471472402261,0.1363612792379263,10.707464036251483,0.1274511193698957,-1.3992561883554622,23.658540241629996,0.2587118302171877,100,0.02,10,0.7,0.6,0.0,0.5,10.0,3,0.0,0.1198577533267985
9,10,2160,2160,10.545764413233158,0.0875126710747868,8.932911187101293,0.1049578857491092,-3.4521190858514785,22.68567185366595,0.2453386380258455,350,0.02,6,0.7,0.6,0.0,2.0,10.0,3,0.3333333333333333,0.1044465935734186
5,10,2160,2160,8.425561009336402,-5.809421922853275e-06,8.25306958657724,0.1029797192351566,-1.5947930062414213,20.560875860143597,0.230018080333247,700,0.3,6,0.7,0.8,0.5,1.0,10.0,1,0.0,0.0
50,10,2160,2160,7.375178541783934,-2.725726729879696e-06,6.833648895157707,0.0842104460931824,-2.0579080021538227,21.300732026983194,0.2360243563359997,700,0.3,6,0.9,0.8,0.0,1.0,10.0,2,0.0,0.0
80,10,2160,2160,10.148819785104305,0.8901865005741798,2.456403997959914,0.0463143569025732,-1.1774229753621557,18.26819476176191,0.217601086513574,100,0.02,10,0.9,0.8,0.0,2.0,0.0,2,0.0,-0.3818181818181818
66,10,2160,2160,8.356122269100613,-5.750201153631451e-05,8.005390973444339,0.0946195056646398,-2.691784395057897,23.969784040097835,0.2589086356743929,100,0.1,6,0.7,0.8,0.0,0.5,10.0,3,0.0,0.0
