seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight,ranking_top_3_accuracy,ranking_spearman_corr
3,10,2160,2160,8.905902873351481,0.8890577184983368,1.859537691529603,0.0373877600323853,-0.1310157103577904,11.624894542994872,0.1481126402124029,350,0.3,6,0.9,0.6,0.5,2.0,0.0,3,0.3333333333333333,0.0787878787878787
2,10,2160,2160,5.488436517803757,0.9431489150922376,0.9900707090573592,0.0184713241783921,-0.5666300951930556,14.730724690937334,0.1784008217394625,350,0.3,6,0.7,0.8,0.5,2.0,0.0,3,0.3333333333333333,-0.1757575757575757
8,10,2160,2160,10.146332862642078,0.8204648229376622,3.258337105744415,0.0555089977040237,-0.4900093979502207,14.490800784649672,0.1712707865756517,100,0.02,10,0.7,0.8,0.0,2.0,0.0,1,0.6666666666666666,0.2484848484848484
10,10,2160,2160,12.284863534856726,-3.428825001705604e-09,11.3573643984618,0.1341892878322823,-0.0072158317343298,11.184500878298724,0.1317596997989806,350,0.02,6,0.7,0.8,0.5,2.0,10.0,3,0.0,0.0
0,10,2160,2160,11.060665466873736,-1.255253185261651e-05,10.10639493589048,0.1195668499393866,-0.0528999302971266,9.210280151367186,0.1083714597215319,700,0.3,10,0.9,0.8,0.5,0.5,10.0,3,0.0,0.0
9,10,2160,2160,11.369739520814685,-3.4912930146902e-07,10.632777933544585,0.1239097312857319,-0.0166996188073011,11.219064254054317,0.1335417137998873,700,0.02,10,0.7,0.8,0.0,1.0,10.0,1,0.0,0.0
5,10,2160,2160,10.25454930918498,0.9998245688059806,0.1125008660577226,0.0016276594152825,0.0316508025063252,12.642769627008173,0.1563619112894798,350,0.3,6,0.9,0.8,0.0,1.0,0.0,3,0.3333333333333333,0.6
11,10,2160,2160,12.273940245663676,0.1362476146601837,10.88995145338553,0.131427556224016,-0.8792676979286087,12.269451809635868,0.1385149735857082,700,0.3,10,0.9,0.8,0.0,0.5,10.0,3,0.3333333333333333,0.3553345272593507
15,10,2160,2160,3.882624149388737,0.9608479769555182,0.8909092986500926,0.0150389584054529,-0.5591473630088901,15.81694578691765,0.1905713702909736,700,0.1,10,0.9,0.6,0.5,0.5,0.0,1,0.3333333333333333,0.4424242424242424
7,10,2160,2159,10.955997499713192,0.9667065750225522,1.3716030982634615,0.0239712118442184,-0.2439093938700871,16.93692069047136,0.2050202795930314,100,0.3,10,0.7,0.8,0.5,1.0,0.0,3,0.0,-0.2848484848484848
20,10,2160,2160,9.694733300385652,-3.073855046809015e-05,9.51210914187961,0.109483348609509,-0.162321132003532,12.132874100296586,0.1394396162487577,700,0.3,10,0.7,0.6,0.5,1.0,10.0,2,0.0,0.0
21,10,2160,2160,13.792911732285114,0.1053053388867926,12.230899584734882,0.147156425373576,-0.5658137457258787,13.938185120688544,0.161032449660234,100,0.02,6,0.7,0.6,0.0,2.0,10.0,3,0.3333333333333333,0.110096376512636
14,10,2160,2160,8.644997407197952,0.6069282382953562,4.64861998407929,0.069980503167249,-0.0440457419771576,8.751205758651098,0.1036570780763316,100,0.02,10,0.9,0.6,0.5,0.5,0.0,1,0.3333333333333333,0.1151515151515151
4,10,2160,2159,10.809769323269526,0.7198665421331669,3.821919549676693,0.0694583470675494,0.1368579933579847,11.561413057935962,0.1339890692840382,350,0.02,6,0.9,0.6,0.5,2.0,0.0,3,0.3333333333333333,0.1999999999999999
13,10,2160,2160,13.960268586918158,0.7069028255227747,5.381953670846092,0.0819230500065104,-0.2060906096533923,8.821361185709634,0.1111843132067962,100,0.02,6,0.9,0.6,0.5,2.0,0.0,1,0.3333333333333333,-0.1878787878787878
32,10,2160,2160,7.235183604911522,0.9366159347580466,1.4325781521138616,0.0379221511015285,-0.1850320213139094,10.68170302580904,0.1379888932295496,700,0.05,6,0.9,0.8,0.5,1.0,0.0,1,0.3333333333333333,0.0787878787878787
17,10,2160,2160,12.164351728933829,-1.0041712921182722e-06,11.19131909052531,0.1349362431557124,-0.0577805301263718,11.688407551094338,0.1432458601497668,100,0.3,6,0.9,0.6,0.0,0.5,10.0,2,0.0,0.0
30,10,2160,2159,13.991922542783948,0.0808922807476165,11.906647011085791,0.1381700296056422,0.0135503992804815,14.76696439498329,0.169112052423392,100,0.02,10,0.7,0.6,0.0,2.0,10.0,1,0.6666666666666666,0.5685352436149612
25,10,2160,2160,10.774413011868797,-4.804566430705037e-06,10.319450210641932,0.1262044862757109,-0.3613165227284214,13.851466833750408,0.1690969582947776,700,0.3,6,0.7,0.6,0.0,0.5,10.0,1,0.0,0.0
19,10,2160,2160,12.520961988943592,-1.077764705881279e-05,12.052959265532316,0.1457276994816908,-0.0969087925826686,10.05322621098271,0.11797975862095,350,0.3,10,0.7,0.8,0.5,1.0,10.0,3,0.0,0.0
1,10,2160,2160,13.246426502510356,0.0227688736980657,12.33724349339803,0.1479625460888938,-0.0047573860274978,12.976858784004492,0.1525128308275102,100,0.02,10,0.7,0.8,0.5,1.0,10.0,1,0.6666666666666666,0.493829164658431
24,10,2160,2160,13.21071562413816,0.2618301025624439,10.414384244636253,0.1224127698848281,-0.0944904920905327,11.938696322617709,0.1415139443852236,100,0.02,6,0.7,0.6,0.0,2.0,10.0,1,0.0,-0.1699323552111062
35,10,2160,2160,13.13591615288346,0.2333305357703743,10.295822534561156,0.1229140247872832,-0.2422370219240894,11.453192970134594,0.1389722512389064,100,0.1,6,0.7,0.6,0.0,1.0,10.0,3,0.6666666666666666,0.0348155311911395
29,10,2160,2160,12.317118397818671,0.1803275646054498,11.13356738055194,0.1297059774006176,-0.1119146485258046,11.546299794161762,0.1350370468098651,100,0.3,6,0.9,0.6,0.0,0.5,10.0,1,0.0,-0.0379868588198793
31,10,2160,2160,12.208139792636588,0.9159682431589904,1.5180962689503754,0.0390681418587106,-0.1061361273966732,11.74501880204236,0.1387691804836084,350,0.02,10,0.7,0.6,0.0,1.0,0.0,3,0.6666666666666666,0.1515151515151515
43,10,2160,2160,8.747383660210506,0.9793881178257988,0.6256109386727352,0.0169004841352077,-0.1712728861022199,12.322206153152166,0.1558233785047088,350,0.05,6,0.7,0.6,0.0,0.5,0.0,2,0.3333333333333333,0.1393939393939393
23,10,2160,2160,12.60195140414768,0.0361810895667407,10.75427366539284,0.1285055544898283,-0.0918014996907672,10.49812383333842,0.1263849351339145,700,0.05,10,0.7,0.6,0.0,2.0,10.0,1,0.6666666666666666,0.5222329678670935
51,10,2160,2159,9.366510514374134,0.8808667678982405,2.186662665136456,0.0480983466769905,0.0685317085291612,7.466130561597263,0.1000194013954615,100,0.3,6,0.9,0.8,0.5,0.5,0.0,1,0.3333333333333333,0.2606060606060606
22,10,2160,2160,12.519439254336888,-5.804686183052965e-06,11.994851442266397,0.1480458057024619,-0.1033910970416291,11.779167411239058,0.1359284726743787,350,0.1,10,0.9,0.8,0.0,1.0,10.0,1,0.0,0.0
