seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight,ranking_top_3_accuracy,ranking_spearman_corr
3,10,2160,2160,10.735411401854622,0.2323087360426881,8.857585581320302,0.1071264410030414,-0.939582993917587,16.522104713298656,0.1896440358655858,350,0.3,10,0.7,0.6,0.5,0.5,10.0,2,0.6666666666666666,-0.2901294265928297
2,10,2160,2160,10.792440829453644,-2.86375141351769e-05,10.548931350708008,0.1345775702640579,-1.0170441830887271,16.725136927851924,0.1907344081403594,350,0.3,10,0.7,0.6,0.5,2.0,10.0,1,0.0,0.0
8,10,2160,2160,8.006530840485185,-2.697149268882093e-05,7.72939667030617,0.0965038509232993,-1.2576360664551145,20.379051841453265,0.2269376484303511,350,0.3,10,0.7,0.8,0.0,0.5,10.0,3,0.0,0.0
0,10,2159,2160,9.981726576828557,-0.0001339082930937,9.908071508403175,0.1165281289821193,-1.0451063872332167,18.357754621152527,0.202785170307625,700,0.3,6,0.7,0.8,0.5,1.0,10.0,1,0.0,0.0
11,10,2160,2160,7.27275905110218,0.9287302756664456,1.4781558149321117,0.0334703892102757,-0.0921438603664437,13.413181041755056,0.162536336729981,700,0.1,6,0.7,0.6,0.5,1.0,0.0,3,0.0,0.309090909090909
5,10,2160,2160,12.795373620214283,0.5931733738613516,6.338275855382283,0.098293386072261,-0.2288559081091536,12.942648099219358,0.1582927762740452,100,0.02,6,0.9,0.8,0.0,2.0,0.0,1,0.3333333333333333,-0.2969696969696969
13,10,2160,2160,8.570385579709956,0.9543294639491116,1.4772314105107005,0.0261227502929586,-0.6970061335913176,13.01506244522554,0.1535367069778348,100,0.1,10,0.7,0.8,0.5,2.0,0.0,2,0.3333333333333333,-0.1757575757575757
18,10,2160,2160,9.375021665916538,0.9808146840293837,0.94232795572111,0.015668999435926,-0.8585019634405495,19.20999137571565,0.2157428858543547,350,0.3,10,0.9,0.8,0.5,0.5,0.0,3,0.6666666666666666,0.4666666666666666
14,10,2160,2160,7.667313464294982,0.9915466666084046,0.5503439477305964,0.0100513273743411,-1.339002128874728,14.47459256345475,0.1673258327669497,350,0.05,6,0.9,0.6,0.0,2.0,0.0,1,0.3333333333333333,0.0181818181818181
7,10,2160,2160,11.932818271319071,0.7425188400352682,4.609160533260416,0.0742758447088281,-0.4132807025749418,11.832002414597405,0.1417497227906094,100,0.02,6,0.9,0.8,0.0,0.5,0.0,3,0.0,-0.4424242424242424
16,10,2160,2160,8.84343357667051,0.964241673227861,1.289718090992559,0.0234054214176126,-0.1304304289982012,12.94987651111903,0.1593852666166611,100,0.3,6,0.7,0.6,0.5,0.5,0.0,3,0.3333333333333333,0.0545454545454545
17,10,2160,2160,8.042629444952365,0.9944317496312696,0.3940210979776802,0.0081408987506464,-0.0897386091918144,8.704704621014772,0.1157362207810859,100,0.1,10,0.9,0.6,0.0,1.0,0.0,3,0.6666666666666666,0.4666666666666666
20,10,2160,2160,11.889514078210905,0.1744996206430634,10.160116936718977,0.1194721860165492,-0.4531903226397085,13.928831665604202,0.1592701167445712,700,0.3,6,0.9,0.8,0.0,0.5,10.0,3,0.0,0.0
6,10,2160,2160,9.784667123810008,0.9586236528428232,0.958793578796149,0.0229052446380217,-1.2563573688511576,17.61973262493257,0.2003882777126376,100,0.1,10,0.9,0.6,0.0,1.0,0.0,1,0.0,0.4181818181818181
12,10,2160,2160,10.728637233840091,0.1646253752787128,10.160883071334274,0.1258393268993459,-1.1128979767965776,13.555699645501598,0.1642436882595179,350,0.3,6,0.7,0.6,0.5,0.5,10.0,3,0.0,-0.3418817293789138
19,10,2160,2160,12.948580238730818,-1.877626505386587e-07,11.877364818431714,0.1380357007565591,-0.8769260235048648,16.195360788415982,0.1833751395947979,700,0.02,6,0.7,0.8,0.5,2.0,10.0,3,0.0,0.0
25,10,2160,2160,10.300979217467484,0.7914471772349065,3.823660166660945,0.0572086459973889,-0.5301107382185011,16.913841888727966,0.1995690882100738,100,0.02,6,0.7,0.8,0.5,1.0,0.0,2,0.3333333333333333,0.4424242424242424
32,10,2160,2160,13.369634478533708,0.1809386764486288,11.593395630695202,0.14269342547607,-1.194744585075194,21.444627709741944,0.2291246303096037,350,0.3,6,0.9,0.6,0.0,1.0,10.0,3,0.0,0.0
31,10,2160,2160,11.368732967818223,0.8079367121891031,3.108680984686879,0.0618774833278778,-1.0920484006334925,14.56453068256378,0.1721112267278319,100,0.1,6,0.7,0.6,0.5,0.5,0.0,3,0.3333333333333333,0.0909090909090908
21,10,2160,2160,14.809307558978045,0.1232742748487589,13.337194839053684,0.1573434405852475,-0.2329438974295541,16.313627604731806,0.1833647875277811,100,0.3,6,0.7,0.6,0.5,0.5,10.0,3,0.0,0.0
30,10,2160,2160,13.883088061014812,-1.8609431695626453e-06,13.632352905979864,0.1542334830291589,-0.3062885678838305,11.69367091178894,0.1471758280507134,100,0.02,10,0.7,0.6,0.0,2.0,10.0,1,0.0,0.0
24,10,2160,2160,15.058438966539171,0.1104976506623743,13.247201629921245,0.1499293357754243,-0.1704168095475111,14.080727392126017,0.1707320364666552,100,0.02,6,0.7,0.6,0.0,2.0,10.0,1,0.6666666666666666,0.3618136134933163
35,10,2160,2160,10.660631723481195,0.9777432049805636,0.8571491863669967,0.0193949624554677,-1.390867933871569,13.106110548796476,0.1566425037035439,350,0.3,10,0.7,0.6,0.5,1.0,0.0,3,0.0,-0.3696969696969697
29,10,2160,2160,12.558686645472491,0.8629947539656819,2.490769476569344,0.0522868336039538,-0.0370133235290428,10.62013631131914,0.1276667711737818,700,0.02,10,0.7,0.6,0.5,0.5,0.0,1,0.6666666666666666,0.1999999999999999
23,10,2159,2160,10.028758728886794,0.8811399877736338,2.0969250430510438,0.0477226925761272,-1.10176939347348,18.31685453929283,0.2051809645679633,700,0.05,6,0.9,0.8,0.5,0.5,0.0,2,0.0,-0.1757575757575757
10,10,2160,2160,13.832526438147932,0.6211776255843439,6.306523259789856,0.0922096686046537,-0.8693050907892577,16.070961358723814,0.1831912383487942,100,0.02,10,0.7,0.6,0.5,2.0,0.0,3,0.6666666666666666,0.6484848484848483
9,10,2160,2160,12.850215437103198,0.6468947277461552,5.471072155536601,0.0920592152405752,-0.9614579794961288,14.053358324037658,0.1628441149423832,100,0.05,6,0.7,0.6,0.0,0.5,0.0,3,0.6666666666666666,0.1999999999999999
27,10,2160,2160,9.865173912754765,-2.151637005276541e-05,9.710900993347169,0.1203459808668491,-0.7636406866921925,17.852876817915174,0.1954119429886631,350,0.3,10,0.9,0.6,0.0,2.0,10.0,1,0.0,0.0
33,10,2160,2160,9.022306277166914,0.9818463690191214,0.8154769909200129,0.0152039822236845,-0.8610528036305074,18.760187468155184,0.2092030352964593,100,0.3,6,0.7,0.6,0.0,2.0,0.0,2,0.3333333333333333,0.3282689935872349
43,10,2160,2160,9.227917928872284,0.1294020393780659,7.824774405867966,0.104221361678588,-1.8808693588527952,17.463427335951064,0.1909331185023048,100,0.02,6,0.7,0.6,0.5,0.5,10.0,2,0.0,-0.2910126232373242
28,10,2160,2160,7.702904869406312,0.8262012241412788,2.53398983920864,0.0476898581461268,-0.4032740405395909,15.026899109063326,0.1762938787594331,350,0.02,6,0.7,0.6,0.5,0.5,0.0,3,0.6666666666666666,0.3575757575757575
15,10,2159,2160,7.669630834625801,0.9032763132871032,1.630199796136688,0.0305548679220533,-2.3784664810489704,20.663498165629527,0.224373123540189,700,0.02,6,0.9,0.8,0.5,0.5,0.0,3,0.0,-0.5878787878787878
4,10,2160,2160,10.379345981500766,0.6314726736084744,4.133808306252447,0.0794002383710351,-0.6638589243873858,16.78118687466339,0.1813582417623186,350,0.02,6,0.9,0.6,0.5,2.0,0.0,3,0.0,-0.0666666666666666
34,10,2160,2160,11.869338889033706,0.7593989058523353,4.119334172407786,0.0727932775341921,-0.7378486249309801,17.90721119377348,0.2065362462395301,100,0.05,6,0.9,0.8,0.5,1.0,0.0,3,0.3333333333333333,0.0060790554368006
41,10,2160,2160,11.457075223216304,0.1901295360271483,9.95777001204314,0.1208191305223007,-0.2087800388825533,13.697314550964922,0.1603007029102752,350,0.3,6,0.7,0.6,0.0,2.0,10.0,2,0.3333333333333333,0.7977240352174655
1,10,2160,2160,12.20959515483291,0.255111698217337,9.28671859211392,0.117329975858232,-0.3723723587909893,15.542718122976796,0.1763220942106537,350,0.1,10,0.7,0.6,0.5,2.0,10.0,1,0.0,-0.0348155311911395
37,10,2160,2160,6.692851075022309,0.8346549903482757,2.6978659781261727,0.0408234923626774,-0.7379169940101922,17.664116933389945,0.2086294661033048,100,0.02,6,0.9,0.8,0.5,1.0,0.0,1,0.3333333333333333,-0.4909090909090908
40,10,2160,2160,11.922288550977354,0.1488975677802494,10.053799954873543,0.1200626368109333,-0.4050405103212,12.735902474721271,0.1566108828268244,350,0.3,10,0.9,0.6,0.0,1.0,10.0,3,0.3333333333333333,0.1421338109037403
51,10,2160,2160,9.716917954285938,0.7970018100055873,3.315133443276088,0.0555101206011225,-0.4131425255728091,14.757694473443207,0.1781949604816088,100,0.02,10,0.9,0.6,0.5,1.0,0.0,3,0.0,-0.1337392196096141
54,10,2160,2160,10.17905419031779,-2.500877283040381e-10,9.63046391663728,0.1102972692431401,-0.902890071649976,18.361689108389395,0.2046467005019962,100,0.05,10,0.7,0.6,0.0,2.0,10.0,2,0.0,0.0
39,10,2159,2160,13.921304900986517,-8.270063379334225e-05,13.818612843169388,0.1592267332157321,-0.3275905670701455,16.86111839612325,0.193242931036001,700,0.3,6,0.7,0.6,0.5,2.0,10.0,1,0.0,0.0
47,10,2160,2160,15.725319411268938,0.8080589238213838,4.387014185146049,0.071223296386141,-0.1518651615377573,9.9873844716284,0.1297824382836273,100,0.02,6,0.9,0.8,0.0,1.0,0.0,2,0.0,-0.6848484848484848
