n_train_catalysts,seed,mean_train_yield,test_mae
5.0,0.0,11.029935125115848,20.964334732090755
5.0,1.0,15.71564814814815,17.126282921810702
5.0,2.0,19.611759259259255,13.445074074074078
5.0,3.0,17.915648148148147,14.463921467764061
5.0,4.0,15.790740740740741,19.940301783264747
5.0,5.0,22.04787037037037,12.178135288065844
5.0,6.0,17.16787037037037,16.286990826474625
5.0,7.0,24.21990740740741,11.323397633744857
5.0,8.0,16.517407407407408,18.487561042524003
5.0,9.0,18.97824074074074,14.304983710562414
5.0,10.0,17.044814814814817,16.860450274348423
5.0,11.0,15.324444444444445,16.860298353909464
5.0,12.0,17.989907407407404,13.852307441700962
5.0,13.0,20.674814814814816,10.513451989026063
5.0,14.0,15.107129629629629,15.132391032235942
5.0,15.0,15.759629629629627,19.29022256515775
5.0,16.0,21.393888888888892,13.524218621399177
5.0,17.0,21.770648148148148,9.923884945130316
5.0,18.0,13.906018518518518,19.968726851851855
5.0,19.0,16.88861111111111,16.515991255144034
5.0,20.0,17.50611111111111,14.311458333333333
5.0,21.0,18.968703703703703,15.955160836762689
5.0,22.0,21.92824074074074,14.197558727709191
5.0,23.0,16.801575532900834,16.513534050732847
5.0,24.0,23.272685185185185,13.282716478052127
5.0,25.0,16.374444444444446,17.385002057613168
5.0,26.0,16.365462962962965,16.43488846021948
5.0,27.0,15.558796296296297,18.80787037037037
5.0,28.0,17.199814814814818,15.909884773662549
5.0,29.0,24.118055555555554,10.69673739711934
5.0,30.0,17.602592592592593,13.984896090534978
5.0,31.0,26.17648148148148,9.700832475994513
5.0,32.0,14.836481481481483,21.819849622770917
5.0,33.0,11.92185185185185,19.133076474622776
5.0,34.0,14.084444444444445,19.45398148148148
5.0,35.0,14.640925925925925,15.465385973936902
5.0,36.0,12.445277777777779,22.836023919753085
5.0,37.0,13.7625,18.106990740740745
5.0,38.0,19.53537037037037,12.903990912208506
5.0,39.0,19.783225208526414,17.95140776782343
5.0,40.0,19.513703703703705,12.832550411522634
5.0,41.0,22.036203703703706,13.793937071330589
5.0,42.0,22.666666666666668,13.051481481481481
5.0,43.0,14.870648148148149,15.360996484910835
5.0,44.0,23.794722222222223,15.517128086419753
5.0,45.0,22.37351851851852,14.739265089163236
5.0,46.0,23.849259259259263,13.936204046639231
5.0,47.0,29.85296296296296,8.87491255144033
5.0,48.0,18.201759259259262,16.599783607681754
5.0,49.0,17.544259259259263,14.324214506172837
5.0,50.0,15.371481481481482,16.647286008230456
5.0,51.0,10.123518518518518,20.64213460219479
5.0,52.0,19.214351851851852,14.74596450617284
5.0,53.0,23.105833333333337,11.451455246913579
