seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight
57,49,10584,2160,0.0773451949923761,0.9394272225263909,0.011529497009101164,0.03086403235570138,0.4175650206252284,0.06662035668400487,0.0864804904698847,700,0.1,10,0.9,0.6,0.5,2.0,0.0,3
71,49,10584,2160,0.07058324344885604,0.8967281379681669,0.018739269748621966,0.03952765463992824,0.39373131069621625,0.08248566276308136,0.0993467433692253,100,0.05,10,0.7,0.8,0.5,1.0,0.0,2
62,49,10584,2160,0.07337715427536072,0.9021914412516199,0.016942266193797774,0.03759063280959108,0.33667575027792274,0.08545237338558767,0.1119727457058877,100,0.1,6,0.7,0.8,0.5,2.0,0.0,2
88,49,10584,2160,0.07628311218251202,0.872325555469565,0.020567721507140153,0.04508526101711623,0.4149806655404584,0.06411924722027833,0.08096658381719193,100,0.1,6,0.7,0.6,0.5,1.0,0.0,3
15,49,10584,2160,0.07384045286201966,0.8653812698316604,0.020411639348324094,0.04525343755493908,0.3713598347269754,0.08515781635866537,0.10109683395410365,350,0.02,6,0.7,0.8,0.5,2.0,0.0,2
32,49,10584,2160,0.07811882196897757,0.9089927685647475,0.016426262886579182,0.03588754593086741,0.2862946150330009,0.09634188410496806,0.1189619235150599,100,0.1,6,0.7,0.6,0.0,0.5,0.0,1
43,49,10584,2160,0.08153927911111711,0.8759549025896388,0.019910435909961645,0.04406108435968804,0.4545079095774097,0.06920278261797029,0.0877192319913016,350,0.02,6,0.9,0.8,0.0,1.0,0.0,1
51,49,10584,2160,0.07499576203591536,0.8991671972531499,0.017023808615738933,0.04000097949371871,0.31252433415923575,0.07266841533398373,0.09317058459043626,700,0.02,6,0.9,0.6,0.5,1.0,0.0,2
87,49,10584,2160,0.07913359602587641,0.8841374626447207,0.019749280620951982,0.04337295363984864,0.5508163570786786,0.053660805220008934,0.07014987152852045,100,0.1,6,0.7,0.8,0.5,1.0,0.0,1
8,49,10584,2160,0.07474272099226167,0.9125918716000481,0.017147115951442086,0.0368283479663215,0.12445102972115729,0.08418473617624224,0.10451470355712324,100,0.05,10,0.9,0.8,0.5,2.0,0.0,2
52,49,10584,2160,0.08199431959488658,0.9100401939550655,0.015268244302856651,0.038253280392481395,0.25785841827598943,0.06711155620500496,0.08861953355972002,700,0.02,6,0.7,0.8,0.5,0.5,0.0,3
3,49,10584,2160,0.07852101969072493,0.9199769860038709,0.014062388596834837,0.03544430351735834,0.44979807494673973,0.06933869876497091,0.08733195582345966,700,0.1,6,0.9,0.6,0.5,2.0,0.0,3
54,49,10584,2160,0.07134047539783296,0.9537987510971115,0.010418645650005443,0.02544029879117959,0.09977484928251268,0.09508299852444638,0.12877915107424653,700,0.02,10,0.7,0.8,0.5,0.5,0.0,2
11,49,10584,2160,0.07606457152882289,0.9055054300753936,0.016040614474681438,0.03847293362805263,0.3196069217217822,0.07455293047134617,0.09655974493286817,350,0.1,6,0.7,0.6,0.5,1.0,0.0,3
76,49,10584,2160,0.07775297946800402,0.9363754304654568,0.012954651287500799,0.030000135680910433,0.3317196582074782,0.09094303764214805,0.11589835535302512,700,0.02,6,0.7,0.6,0.0,2.0,0.0,1
75,49,10584,2160,0.07778809941983107,0.9104471181787919,0.015169359233816865,0.037334430447514534,0.4990235237178947,0.06693477512004906,0.08427574339146568,700,0.02,6,0.9,0.6,0.0,1.0,0.0,3
18,49,10584,2160,0.07954139418437231,0.912227210533979,0.014959031342731379,0.037306709036260446,0.3831292704321503,0.05657668497901115,0.08801171162724676,350,0.05,6,0.9,0.8,0.5,1.0,0.0,1
98,49,10584,2160,0.0753854401959368,0.9196287240303853,0.014024619424456854,0.03516642220257329,0.3442634991100717,0.0781287769698249,0.09815793069568328,100,0.1,10,0.9,0.6,0.5,2.0,0.0,1
9,49,10584,2160,0.07609000514057924,0.9098738570758746,0.015506063233601737,0.03736083774745581,0.46718745493982583,0.06951576111014413,0.08893211309870111,700,0.05,6,0.7,0.6,0.5,0.5,0.0,1
10,49,10584,2160,0.07498595103067196,0.9003338994757286,0.015877041326495867,0.039035024053599515,0.5351956735350883,0.06361862551591878,0.0853341115380887,350,0.05,6,0.9,0.6,0.5,2.0,0.0,2
2,49,10584,2160,0.07524559623566263,0.9378075188186654,0.012923077626991287,0.030935003568474066,0.3410993281495418,0.07553896441198522,0.10063614657682292,700,0.02,6,0.7,0.8,0.0,2.0,0.0,3
78,49,10584,2160,0.07363917583595803,0.8808181348426611,0.020164146725184726,0.04177070053412641,0.4351010359121803,0.07591394329939294,0.10308604580615763,350,0.02,6,0.7,0.6,0.5,1.0,0.0,1
